Dia: 1.8 m | Vel: 17.5 km/s | theta: 31.9 deg | Strength: 3.0e+05 Pa
Power (W)    Altitude (m)
1.6943e+08   9.4568e+04
1.6984e+08   9.4540e+04
1.7025e+08   9.4512e+04
1.7066e+08   9.4485e+04
1.7107e+08   9.4457e+04
1.7148e+08   9.4429e+04
1.7190e+08   9.4402e+04
1.7231e+08   9.4374e+04
1.7273e+08   9.4346e+04
1.7315e+08   9.4319e+04
1.7357e+08   9.4291e+04
1.7399e+08   9.4263e+04
1.7441e+08   9.4236e+04
1.7483e+08   9.4208e+04
1.7525e+08   9.4180e+04
1.7568e+08   9.4153e+04
1.7610e+08   9.4125e+04
1.7653e+08   9.4097e+04
1.7696e+08   9.4070e+04
1.7739e+08   9.4042e+04
1.7782e+08   9.4014e+04
1.7825e+08   9.3987e+04
1.7868e+08   9.3959e+04
1.7911e+08   9.3931e+04
1.7955e+08   9.3903e+04
1.7998e+08   9.3876e+04
1.8042e+08   9.3848e+04
1.8086e+08   9.3820e+04
1.8129e+08   9.3793e+04
1.8173e+08   9.3765e+04
1.8218e+08   9.3737e+04
1.8262e+08   9.3710e+04
1.8306e+08   9.3682e+04
1.8351e+08   9.3654e+04
1.8395e+08   9.3627e+04
1.8440e+08   9.3599e+04
1.8485e+08   9.3571e+04
1.8530e+08   9.3544e+04
1.8575e+08   9.3516e+04
1.8620e+08   9.3488e+04
1.8665e+08   9.3461e+04
1.8711e+08   9.3433e+04
1.8756e+08   9.3405e+04
1.8802e+08   9.3378e+04
1.8847e+08   9.3350e+04
1.8893e+08   9.3322e+04
1.8939e+08   9.3295e+04
1.8985e+08   9.3267e+04
1.9032e+08   9.3239e+04
1.9078e+08   9.3212e+04
1.9125e+08   9.3184e+04
1.9171e+08   9.3156e+04
1.9218e+08   9.3129e+04
1.9265e+08   9.3101e+04
1.9312e+08   9.3073e+04
1.9359e+08   9.3046e+04
1.9406e+08   9.3018e+04
1.9453e+08   9.2990e+04
1.9501e+08   9.2963e+04
1.9548e+08   9.2935e+04
1.9596e+08   9.2907e+04
1.9644e+08   9.2879e+04
1.9692e+08   9.2852e+04
1.9740e+08   9.2824e+04
1.9788e+08   9.2796e+04
1.9837e+08   9.2769e+04
1.9885e+08   9.2741e+04
1.9934e+08   9.2713e+04
1.9982e+08   9.2686e+04
2.0031e+08   9.2658e+04
2.0080e+08   9.2630e+04
2.0129e+08   9.2603e+04
2.0179e+08   9.2575e+04
2.0228e+08   9.2547e+04
2.0277e+08   9.2520e+04
2.0327e+08   9.2492e+04
2.0377e+08   9.2464e+04
2.0427e+08   9.2437e+04
2.0477e+08   9.2409e+04
2.0527e+08   9.2381e+04
2.0577e+08   9.2354e+04
2.0628e+08   9.2326e+04
2.0678e+08   9.2299e+04
2.0729e+08   9.2271e+04
2.0780e+08   9.2243e+04
2.0831e+08   9.2216e+04
2.0882e+08   9.2188e+04
2.0933e+08   9.2160e+04
2.0984e+08   9.2133e+04
2.1036e+08   9.2105e+04
2.1087e+08   9.2077e+04
2.1139e+08   9.2050e+04
2.1191e+08   9.2022e+04
2.1243e+08   9.1994e+04
2.1295e+08   9.1967e+04
2.1348e+08   9.1939e+04
2.1400e+08   9.1911e+04
