Dia: 1.3 m | Vel: 15.0 km/s | theta: 60.0 deg | Strength: 5.0e+05 Pa
Power (W)    Altitude (m)
2.0600e+08   8.2363e+04
2.0676e+08   8.2324e+04
2.0753e+08   8.2285e+04
2.0830e+08   8.2246e+04
2.0907e+08   8.2207e+04
2.0985e+08   8.2168e+04
2.1062e+08   8.2129e+04
2.1141e+08   8.2090e+04
2.1219e+08   8.2051e+04
2.1298e+08   8.2012e+04
2.1377e+08   8.1973e+04
2.1457e+08   8.1934e+04
2.1536e+08   8.1895e+04
2.1616e+08   8.1856e+04
2.1697e+08   8.1817e+04
2.1778e+08   8.1778e+04
2.1859e+08   8.1739e+04
2.1940e+08   8.1701e+04
2.2022e+08   8.1662e+04
2.2104e+08   8.1623e+04
2.2186e+08   8.1584e+04
2.2269e+08   8.1545e+04
2.2352e+08   8.1506e+04
2.2435e+08   8.1467e+04
2.2519e+08   8.1428e+04
2.2603e+08   8.1389e+04
2.2687e+08   8.1350e+04
2.2772e+08   8.1311e+04
2.2857e+08   8.1272e+04
2.2943e+08   8.1233e+04
2.3028e+08   8.1194e+04
2.3114e+08   8.1155e+04
2.3201e+08   8.1116e+04
2.3288e+08   8.1077e+04
2.3375e+08   8.1038e+04
2.3462e+08   8.0999e+04
2.3550e+08   8.0960e+04
2.3638e+08   8.0921e+04
2.3727e+08   8.0882e+04
2.3816e+08   8.0843e+04
2.3905e+08   8.0804e+04
2.3994e+08   8.0766e+04
2.4084e+08   8.0727e+04
2.4175e+08   8.0688e+04
2.4265e+08   8.0649e+04
2.4356e+08   8.0610e+04
2.4448e+08   8.0571e+04
2.4540e+08   8.0532e+04
2.4632e+08   8.0493e+04
2.4724e+08   8.0454e+04
2.4817e+08   8.0415e+04
2.4911e+08   8.0376e+04
2.5004e+08   8.0337e+04
2.5098e+08   8.0298e+04
2.5193e+08   8.0259e+04
2.5288e+08   8.0220e+04
2.5383e+08   8.0181e+04
2.5478e+08   8.0142e+04
2.5574e+08   8.0103e+04
2.5671e+08   8.0064e+04
2.5767e+08   8.0025e+04
2.5864e+08   7.9986e+04
2.5962e+08   7.9947e+04
2.6060e+08   7.9909e+04
2.6158e+08   7.9870e+04
2.6257e+08   7.9831e+04
2.6356e+08   7.9792e+04
2.6456e+08   7.9753e+04
2.6556e+08   7.9714e+04
2.6656e+08   7.9675e+04
2.6757e+08   7.9636e+04
2.6858e+08   7.9597e+04
2.6959e+08   7.9558e+04
2.7061e+08   7.9519e+04
2.7164e+08   7.9480e+04
2.7266e+08   7.9441e+04
2.7370e+08   7.9402e+04
2.7473e+08   7.9363e+04
2.7577e+08   7.9324e+04
2.7682e+08   7.9285e+04
2.7787e+08   7.9246e+04
2.7892e+08   7.9207e+04
2.7998e+08   7.9168e+04
2.8104e+08   7.9129e+04
2.8211e+08   7.9090e+04
2.8318e+08   7.9052e+04
2.8425e+08   7.9013e+04
2.8533e+08   7.8974e+04
2.8642e+08   7.8935e+04
2.8750e+08   7.8896e+04
2.8860e+08   7.8857e+04
2.8969e+08   7.8818e+04
2.9080e+08   7.8779e+04
2.9190e+08   7.8740e+04
2.9301e+08   7.8701e+04
2.9413e+08   7.8662e+04
2.9525e+08   7.8623e+04
2.9637e+08   7.8584e+04
2.9750e+08   7.8545e+04
2.9863e+08   7.8506e+04
2.9977e+08   7.8467e+04
3.0091e+08   7.8428e+04
3.0206e+08   7.8389e+04
3.0321e+08   7.8350e+04
3.0437e+08   7.8311e+04
3.0553e+08   7.8272e+04
3.0670e+08   7.8234e+04
3.0787e+08   7.8195e+04
3.0905e+08   7.8156e+04
3.1023e+08   7.8117e+04
3.1141e+08   7.8078e+04
3.1260e+08   7.8039e+04
3.1380e+08   7.8000e+04
3.1500e+08   7.7961e+04
3.1620e+08   7.7922e+04
3.1741e+08   7.7883e+04
3.1863e+08   7.7844e+04
3.1985e+08   7.7805e+04
3.2107e+08   7.7766e+04
3.2231e+08   7.7727e+04
3.2354e+08   7.7688e+04
3.2478e+08   7.7649e+04
3.2603e+08   7.7610e+04
3.2728e+08   7.7571e+04
3.2853e+08   7.7532e+04
3.2979e+08   7.7493e+04
3.3106e+08   7.7454e+04
3.3233e+08   7.7416e+04
3.3361e+08   7.7377e+04
3.3489e+08   7.7338e+04
3.3618e+08   7.7299e+04
3.3747e+08   7.7260e+04
3.3877e+08   7.7221e+04
3.4007e+08   7.7182e+04
3.4138e+08   7.7143e+04
3.4269e+08   7.7104e+04
3.4401e+08   7.7065e+04
3.4534e+08   7.7026e+04
3.4667e+08   7.6987e+04
3.4800e+08   7.6948e+04
3.4934e+08   7.6909e+04
3.5069e+08   7.6870e+04
3.5204e+08   7.6831e+04
3.5340e+08   7.6792e+04
3.5476e+08   7.6753e+04
3.5613e+08   7.6714e+04
3.5751e+08   7.6675e+04
3.5889e+08   7.6637e+04
3.6028e+08   7.6598e+04
3.6167e+08   7.6559e+04
3.6307e+08   7.6520e+04
3.6447e+08   7.6481e+04
3.6588e+08   7.6442e+04
3.6729e+08   7.6403e+04
3.6872e+08   7.6364e+04
3.7014e+08   7.6325e+04
3.7158e+08   7.6286e+04
3.7302e+08   7.6247e+04
3.7446e+08   7.6208e+04
3.7591e+08   7.6169e+04
3.7737e+08   7.6130e+04
3.7883e+08   7.6091e+04
3.8030e+08   7.6052e+04
3.8178e+08   7.6013e+04
3.8326e+08   7.5974e+04
3.8474e+08   7.5935e+04
3.8624e+08   7.5896e+04
3.8774e+08   7.5858e+04
3.8924e+08   7.5819e+04
3.9076e+08   7.5780e+04
3.9228e+08   7.5741e+04
3.9380e+08   7.5702e+04
3.9533e+08   7.5663e+04
3.9687e+08   7.5624e+04
3.9841e+08   7.5585e+04
3.9997e+08   7.5546e+04
4.0152e+08   7.5507e+04
4.0309e+08   7.5468e+04
4.0466e+08   7.5429e+04
4.0623e+08   7.5390e+04
4.0782e+08   7.5351e+04
4.0941e+08   7.5312e+04
4.1100e+08   7.5273e+04
4.1261e+08   7.5234e+04
4.1422e+08   7.5195e+04
4.1583e+08   7.5156e+04
4.1746e+08   7.5118e+04
4.1909e+08   7.5079e+04
4.2072e+08   7.5040e+04
4.2237e+08   7.5001e+04
4.2402e+08   7.4962e+04
4.2568e+08   7.4923e+04
4.2734e+08   7.4884e+04
4.2901e+08   7.4845e+04
4.3069e+08   7.4806e+04
4.3238e+08   7.4767e+04
4.3407e+08   7.4728e+04
4.3577e+08   7.4689e+04
4.3748e+08   7.4650e+04
4.3919e+08   7.4611e+04
4.4091e+08   7.4572e+04
4.4264e+08   7.4533e+04
