Dia: 1.2 m | Vel: 21.2 km/s | theta: 25.0 deg | Strength: 2.0e+05 Pa
Power (W)    Altitude (m)
1.1324e+09   8.4741e+04
1.1351e+09   8.4715e+04
1.1379e+09   8.4688e+04
1.1407e+09   8.4661e+04
1.1435e+09   8.4634e+04
1.1463e+09   8.4607e+04
1.1492e+09   8.4581e+04
1.1520e+09   8.4554e+04
1.1548e+09   8.4527e+04
1.1577e+09   8.4500e+04
1.1605e+09   8.4474e+04
1.1634e+09   8.4447e+04
1.1662e+09   8.4420e+04
1.1691e+09   8.4393e+04
1.1720e+09   8.4366e+04
1.1748e+09   8.4340e+04
1.1777e+09   8.4313e+04
1.1806e+09   8.4286e+04
1.1835e+09   8.4259e+04
1.1865e+09   8.4233e+04
1.1894e+09   8.4206e+04
1.1923e+09   8.4179e+04
1.1952e+09   8.4152e+04
1.1982e+09   8.4126e+04
1.2011e+09   8.4099e+04
1.2041e+09   8.4072e+04
1.2071e+09   8.4045e+04
1.2100e+09   8.4018e+04
1.2130e+09   8.3992e+04
1.2160e+09   8.3965e+04
1.2190e+09   8.3938e+04
1.2220e+09   8.3911e+04
1.2250e+09   8.3885e+04
1.2280e+09   8.3858e+04
1.2311e+09   8.3831e+04
1.2341e+09   8.3804e+04
1.2372e+09   8.3778e+04
1.2402e+09   8.3751e+04
1.2433e+09   8.3724e+04
1.2463e+09   8.3697e+04
1.2494e+09   8.3671e+04
1.2525e+09   8.3644e+04
1.2556e+09   8.3617e+04
1.2587e+09   8.3590e+04
1.2618e+09   8.3563e+04
1.2649e+09   8.3537e+04
1.2680e+09   8.3510e+04
1.2712e+09   8.3483e+04
1.2743e+09   8.3456e+04
1.2775e+09   8.3430e+04
1.2806e+09   8.3403e+04
1.2838e+09   8.3376e+04
1.2870e+09   8.3349e+04
1.2901e+09   8.3323e+04
1.2933e+09   8.3296e+04
1.2965e+09   8.3269e+04
1.2997e+09   8.3242e+04
1.3029e+09   8.3216e+04
1.3062e+09   8.3189e+04
1.3094e+09   8.3162e+04
1.3126e+09   8.3135e+04
1.3159e+09   8.3109e+04
1.3191e+09   8.3082e+04
1.3224e+09   8.3055e+04
1.3257e+09   8.3028e+04
1.3290e+09   8.3002e+04
1.3323e+09   8.2975e+04
1.3356e+09   8.2948e+04
1.3389e+09   8.2921e+04
1.3422e+09   8.2895e+04
1.3455e+09   8.2868e+04
1.3488e+09   8.2841e+04
1.3522e+09   8.2814e+04
1.3555e+09   8.2788e+04
1.3589e+09   8.2761e+04
1.3623e+09   8.2734e+04
1.3656e+09   8.2707e+04
1.3690e+09   8.2681e+04
1.3724e+09   8.2654e+04
1.3758e+09   8.2627e+04
1.3792e+09   8.2600e+04
1.3827e+09   8.2574e+04
1.3861e+09   8.2547e+04
1.3895e+09   8.2520e+04
1.3930e+09   8.2494e+04
1.3964e+09   8.2467e+04
1.3999e+09   8.2440e+04
1.4034e+09   8.2413e+04
1.4069e+09   8.2387e+04
1.4104e+09   8.2360e+04
1.4139e+09   8.2333e+04
1.4174e+09   8.2306e+04
1.4209e+09   8.2280e+04
1.4244e+09   8.2253e+04
1.4280e+09   8.2226e+04
1.4315e+09   8.2199e+04
1.4351e+09   8.2173e+04
1.4386e+09   8.2146e+04
1.4422e+09   8.2119e+04
1.4458e+09   8.2092e+04
1.4494e+09   8.2066e+04
1.4530e+09   8.2039e+04
1.4566e+09   8.2012e+04
1.4602e+09   8.1986e+04
1.4639e+09   8.1959e+04
1.4675e+09   8.1932e+04
1.4712e+09   8.1905e+04
1.4748e+09   8.1879e+04
1.4785e+09   8.1852e+04
1.4822e+09   8.1825e+04
1.4859e+09   8.1798e+04
1.4895e+09   8.1772e+04
