Dia: 0.3 m | Vel: 14.4 km/s | theta: 72.0 deg | Strength: 4.0e+06 Pa
Power (W)    Altitude (m)
8.7528e+07   6.1949e+04
8.7886e+07   6.1908e+04
8.8245e+07   6.1867e+04
8.8606e+07   6.1826e+04
8.8968e+07   6.1785e+04
8.9332e+07   6.1744e+04
8.9696e+07   6.1703e+04
9.0063e+07   6.1662e+04
9.0430e+07   6.1621e+04
9.0799e+07   6.1580e+04
9.1170e+07   6.1539e+04
9.1541e+07   6.1498e+04
9.1915e+07   6.1457e+04
9.2289e+07   6.1416e+04
9.2665e+07   6.1375e+04
9.3043e+07   6.1334e+04
9.3422e+07   6.1292e+04
9.3802e+07   6.1251e+04
9.4184e+07   6.1210e+04
9.4567e+07   6.1169e+04
9.4951e+07   6.1128e+04
9.5337e+07   6.1087e+04
9.5725e+07   6.1046e+04
9.6113e+07   6.1005e+04
9.6504e+07   6.0964e+04
9.6896e+07   6.0923e+04
9.7289e+07   6.0882e+04
9.7683e+07   6.0841e+04
9.8079e+07   6.0800e+04
9.8477e+07   6.0759e+04
9.8876e+07   6.0718e+04
9.9277e+07   6.0677e+04
9.9678e+07   6.0636e+04
1.0008e+08   6.0595e+04
1.0049e+08   6.0553e+04
1.0089e+08   6.0512e+04
1.0130e+08   6.0471e+04
1.0171e+08   6.0430e+04
1.0212e+08   6.0389e+04
1.0253e+08   6.0348e+04
1.0295e+08   6.0307e+04
1.0336e+08   6.0266e+04
1.0378e+08   6.0225e+04
1.0420e+08   6.0184e+04
1.0462e+08   6.0143e+04
1.0504e+08   6.0102e+04
1.0546e+08   6.0061e+04
1.0589e+08   6.0020e+04
1.0631e+08   5.9979e+04
1.0674e+08   5.9938e+04
1.0717e+08   5.9897e+04
1.0760e+08   5.9856e+04
1.0803e+08   5.9815e+04
1.0846e+08   5.9774e+04
1.0890e+08   5.9733e+04
1.0933e+08   5.9691e+04
1.0977e+08   5.9650e+04
1.1021e+08   5.9609e+04
1.1065e+08   5.9568e+04
1.1110e+08   5.9527e+04
1.1154e+08   5.9486e+04
1.1199e+08   5.9445e+04
1.1243e+08   5.9404e+04
1.1288e+08   5.9363e+04
1.1333e+08   5.9322e+04
1.1378e+08   5.9281e+04
1.1424e+08   5.9240e+04
1.1469e+08   5.9199e+04
1.1515e+08   5.9158e+04
1.1561e+08   5.9117e+04
1.1606e+08   5.9076e+04
1.1653e+08   5.9035e+04
1.1699e+08   5.8994e+04
1.1745e+08   5.8953e+04
1.1792e+08   5.8912e+04
1.1839e+08   5.8871e+04
1.1885e+08   5.8830e+04
1.1933e+08   5.8788e+04
1.1980e+08   5.8747e+04
1.2027e+08   5.8706e+04
1.2075e+08   5.8665e+04
1.2122e+08   5.8624e+04
1.2170e+08   5.8583e+04
1.2218e+08   5.8542e+04
1.2266e+08   5.8501e+04
1.2314e+08   5.8460e+04
1.2363e+08   5.8419e+04
1.2412e+08   5.8378e+04
1.2460e+08   5.8337e+04
1.2509e+08   5.8296e+04
1.2558e+08   5.8255e+04
1.2608e+08   5.8214e+04
1.2657e+08   5.8173e+04
1.2706e+08   5.8132e+04
1.2756e+08   5.8091e+04
1.2806e+08   5.8050e+04
1.2856e+08   5.8009e+04
1.2906e+08   5.7968e+04
1.2957e+08   5.7927e+04
1.3007e+08   5.7886e+04
1.3058e+08   5.7845e+04
1.3108e+08   5.7804e+04
1.3159e+08   5.7763e+04
1.3210e+08   5.7722e+04
1.3262e+08   5.7680e+04
1.3313e+08   5.7639e+04
1.3365e+08   5.7598e+04
1.3416e+08   5.7557e+04
1.3468e+08   5.7516e+04
1.3520e+08   5.7475e+04
1.3573e+08   5.7434e+04
1.3625e+08   5.7393e+04
1.3677e+08   5.7352e+04
1.3730e+08   5.7311e+04
1.3783e+08   5.7270e+04
1.3836e+08   5.7229e+04
1.3889e+08   5.7188e+04
1.3942e+08   5.7147e+04
1.3996e+08   5.7106e+04
1.4049e+08   5.7065e+04
1.4103e+08   5.7024e+04
1.4157e+08   5.6983e+04
1.4211e+08   5.6942e+04
1.4265e+08   5.6901e+04
1.4319e+08   5.6860e+04
1.4374e+08   5.6819e+04
1.4429e+08   5.6778e+04
