Dia: 1.0 m | Vel: 20.0 km/s | theta: 45.0 deg | Strength: 1.0e+05 Pa
Power (W)    Altitude (m)
2.0752e+08   9.9958e+04
2.0826e+08   9.9915e+04
2.0900e+08   9.9873e+04
2.0974e+08   9.9830e+04
2.1049e+08   9.9788e+04
2.1124e+08   9.9745e+04
2.1199e+08   9.9703e+04
2.1274e+08   9.9661e+04
2.1350e+08   9.9618e+04
2.1426e+08   9.9576e+04
2.1502e+08   9.9533e+04
2.1579e+08   9.9491e+04
2.1656e+08   9.9448e+04
2.1733e+08   9.9406e+04
2.1811e+08   9.9364e+04
2.1888e+08   9.9321e+04
2.1966e+08   9.9279e+04
2.2045e+08   9.9236e+04
2.2123e+08   9.9194e+04
2.2202e+08   9.9152e+04
2.2282e+08   9.9109e+04
2.2361e+08   9.9067e+04
2.2441e+08   9.9024e+04
2.2521e+08   9.8982e+04
2.2602e+08   9.8939e+04
2.2683e+08   9.8897e+04
2.2764e+08   9.8855e+04
2.2845e+08   9.8812e+04
2.2927e+08   9.8770e+04
2.3009e+08   9.8727e+04
2.3091e+08   9.8685e+04
2.3174e+08   9.8642e+04
2.3257e+08   9.8600e+04
2.3340e+08   9.8558e+04
2.3424e+08   9.8515e+04
2.3508e+08   9.8473e+04
2.3592e+08   9.8430e+04
2.3677e+08   9.8388e+04
2.3762e+08   9.8346e+04
2.3847e+08   9.8303e+04
2.3933e+08   9.8261e+04
2.4019e+08   9.8218e+04
2.4105e+08   9.8176e+04
2.4191e+08   9.8133e+04
2.4278e+08   9.8091e+04
2.4366e+08   9.8049e+04
2.4453e+08   9.8006e+04
2.4541e+08   9.7964e+04
2.4629e+08   9.7921e+04
2.4718e+08   9.7879e+04
2.4807e+08   9.7837e+04
2.4896e+08   9.7794e+04
2.4986e+08   9.7752e+04
2.5076e+08   9.7709e+04
2.5166e+08   9.7667e+04
2.5257e+08   9.7625e+04
2.5348e+08   9.7582e+04
2.5439e+08   9.7540e+04
2.5531e+08   9.7497e+04
2.5623e+08   9.7455e+04
2.5716e+08   9.7412e+04
2.5808e+08   9.7370e+04
2.5902e+08   9.7328e+04
2.5995e+08   9.7285e+04
2.6089e+08   9.7243e+04
2.6183e+08   9.7200e+04
2.6278e+08   9.7158e+04
2.6373e+08   9.7116e+04
2.6468e+08   9.7073e+04
2.6564e+08   9.7031e+04
2.6660e+08   9.6988e+04
2.6757e+08   9.6946e+04
2.6853e+08   9.6904e+04
2.6951e+08   9.6861e+04
2.7048e+08   9.6819e+04
2.7146e+08   9.6776e+04
2.7245e+08   9.6734e+04
2.7343e+08   9.6692e+04
2.7442e+08   9.6649e+04
2.7542e+08   9.6607e+04
2.7642e+08   9.6564e+04
2.7742e+08   9.6522e+04
2.7843e+08   9.6480e+04
2.7944e+08   9.6437e+04
2.8045e+08   9.6395e+04
2.8147e+08   9.6352e+04
2.8249e+08   9.6310e+04
2.8352e+08   9.6267e+04
2.8455e+08   9.6225e+04
2.8559e+08   9.6183e+04
2.8663e+08   9.6140e+04
2.8767e+08   9.6098e+04
2.8871e+08   9.6055e+04
2.8977e+08   9.6013e+04
2.9082e+08   9.5971e+04
2.9188e+08   9.5928e+04
2.9294e+08   9.5886e+04
2.9401e+08   9.5843e+04
2.9508e+08   9.5801e+04
2.9616e+08   9.5759e+04
2.9724e+08   9.5716e+04
2.9832e+08   9.5674e+04
2.9941e+08   9.5631e+04
3.0050e+08   9.5589e+04
3.0160e+08   9.5547e+04
3.0270e+08   9.5504e+04
3.0381e+08   9.5462e+04
3.0492e+08   9.5419e+04
3.0603e+08   9.5377e+04
3.0715e+08   9.5335e+04
3.0827e+08   9.5292e+04
3.0940e+08   9.5250e+04
3.1053e+08   9.5207e+04
3.1167e+08   9.5165e+04
3.1281e+08   9.5123e+04
3.1395e+08   9.5080e+04
3.1510e+08   9.5038e+04
3.1626e+08   9.4996e+04
3.1742e+08   9.4953e+04
3.1858e+08   9.4911e+04
3.1975e+08   9.4868e+04
3.2092e+08   9.4826e+04
3.2210e+08   9.4784e+04
3.2328e+08   9.4741e+04
3.2446e+08   9.4699e+04
3.2566e+08   9.4656e+04
3.2685e+08   9.4614e+04
3.2805e+08   9.4572e+04
3.2926e+08   9.4529e+04
3.3047e+08   9.4487e+04
3.3168e+08   9.4444e+04
3.3290e+08   9.4402e+04
3.3412e+08   9.4360e+04
3.3535e+08   9.4317e+04
3.3659e+08   9.4275e+04
3.3783e+08   9.4232e+04
3.3907e+08   9.4190e+04
3.4032e+08   9.4148e+04
3.4157e+08   9.4105e+04
3.4283e+08   9.4063e+04
3.4409e+08   9.4020e+04
3.4536e+08   9.3978e+04
3.4664e+08   9.3936e+04
3.4791e+08   9.3893e+04
3.4920e+08   9.3851e+04
3.5049e+08   9.3809e+04
3.5178e+08   9.3766e+04
3.5308e+08   9.3724e+04
3.5438e+08   9.3681e+04
3.5569e+08   9.3639e+04
3.5701e+08   9.3597e+04
3.5832e+08   9.3554e+04
3.5965e+08   9.3512e+04
3.6098e+08   9.3469e+04
3.6231e+08   9.3427e+04
3.6365e+08   9.3385e+04
3.6500e+08   9.3342e+04
3.6635e+08   9.3300e+04
3.6771e+08   9.3258e+04
3.6907e+08   9.3215e+04
3.7044e+08   9.3173e+04
3.7181e+08   9.3130e+04
3.7319e+08   9.3088e+04
3.7457e+08   9.3046e+04
3.7596e+08   9.3003e+04
3.7736e+08   9.2961e+04
3.7876e+08   9.2918e+04
3.8016e+08   9.2876e+04
3.8157e+08   9.2834e+04
3.8299e+08   9.2791e+04
3.8441e+08   9.2749e+04
3.8584e+08   9.2707e+04
3.8727e+08   9.2664e+04
3.8871e+08   9.2622e+04
3.9016e+08   9.2579e+04
3.9161e+08   9.2537e+04
3.9307e+08   9.2495e+04
3.9453e+08   9.2452e+04
3.9600e+08   9.2410e+04
3.9747e+08   9.2367e+04
3.9895e+08   9.2325e+04
4.0044e+08   9.2283e+04
4.0193e+08   9.2240e+04
4.0343e+08   9.2198e+04
4.0493e+08   9.2156e+04
4.0644e+08   9.2113e+04
4.0796e+08   9.2071e+04
4.0948e+08   9.2028e+04
4.1101e+08   9.1986e+04
4.1254e+08   9.1944e+04
4.1408e+08   9.1901e+04
4.1563e+08   9.1859e+04
4.1718e+08   9.1817e+04
4.1874e+08   9.1774e+04
4.2031e+08   9.1732e+04
4.2188e+08   9.1689e+04
4.2345e+08   9.1647e+04
4.2504e+08   9.1605e+04
4.2663e+08   9.1562e+04
4.2823e+08   9.1520e+04
4.2983e+08   9.1478e+04
4.3144e+08   9.1435e+04
4.3305e+08   9.1393e+04
4.3468e+08   9.1350e+04
4.3631e+08   9.1308e+04
4.3794e+08   9.1266e+04
4.3958e+08   9.1223e+04
4.4123e+08   9.1181e+04
4.4289e+08   9.1139e+04
4.4455e+08   9.1096e+04
4.4622e+08   9.1054e+04
4.4789e+08   9.1011e+04
4.4957e+08   9.0969e+04
4.5126e+08   9.0927e+04
4.5296e+08   9.0884e+04
4.5466e+08   9.0842e+04
4.5637e+08   9.0800e+04
4.5809e+08   9.0757e+04
4.5981e+08   9.0715e+04
4.6154e+08   9.0673e+04
4.6327e+08   9.0630e+04
4.6502e+08   9.0588e+04
4.6677e+08   9.0545e+04
4.6853e+08   9.0503e+04
4.7029e+08   9.0461e+04
4.7206e+08   9.0418e+04
4.7384e+08   9.0376e+04
4.7563e+08   9.0334e+04
4.7742e+08   9.0291e+04
4.7922e+08   9.0249e+04
4.8103e+08   9.0206e+04
4.8285e+08   9.0164e+04
4.8467e+08   9.0122e+04
4.8650e+08   9.0079e+04
4.8834e+08   9.0037e+04
4.9018e+08   8.9995e+04
4.9203e+08   8.9952e+04
4.9389e+08   8.9910e+04
4.9576e+08   8.9868e+04
4.9763e+08   8.9825e+04
4.9952e+08   8.9783e+04
5.0141e+08   8.9740e+04
5.0330e+08   8.9698e+04
5.0521e+08   8.9656e+04
5.0712e+08   8.9613e+04
5.0904e+08   8.9571e+04
5.1097e+08   8.9529e+04
5.1291e+08   8.9486e+04
5.1485e+08   8.9444e+04
5.1680e+08   8.9402e+04
5.1876e+08   8.9359e+04
5.2073e+08   8.9317e+04
5.2271e+08   8.9275e+04
5.2469e+08   8.9232e+04
5.2668e+08   8.9190e+04
5.2868e+08   8.9147e+04
5.3069e+08   8.9105e+04
5.3271e+08   8.9063e+04
5.3473e+08   8.9020e+04
5.3676e+08   8.8978e+04
5.3880e+08   8.8936e+04
5.4085e+08   8.8893e+04
5.4291e+08   8.8851e+04
5.4498e+08   8.8809e+04
5.4705e+08   8.8766e+04
5.4913e+08   8.8724e+04
5.5122e+08   8.8681e+04
5.5332e+08   8.8639e+04
5.5543e+08   8.8597e+04
5.5755e+08   8.8554e+04
5.5967e+08   8.8512e+04
5.6181e+08   8.8470e+04
5.6395e+08   8.8427e+04
5.6610e+08   8.8385e+04
5.6826e+08   8.8343e+04
5.7043e+08   8.8300e+04
5.7261e+08   8.8258e+04
5.7479e+08   8.8216e+04
5.7699e+08   8.8173e+04
5.7919e+08   8.8131e+04
5.8141e+08   8.8089e+04
5.8363e+08   8.8046e+04
5.8586e+08   8.8004e+04
5.8810e+08   8.7961e+04
5.9035e+08   8.7919e+04
5.9261e+08   8.7877e+04
5.9488e+08   8.7834e+04
5.9715e+08   8.7792e+04
5.9944e+08   8.7750e+04
6.0174e+08   8.7707e+04
6.0404e+08   8.7665e+04
6.0636e+08   8.7623e+04
6.0868e+08   8.7580e+04
6.1101e+08   8.7538e+04
6.1336e+08   8.7496e+04
6.1571e+08   8.7453e+04
6.1807e+08   8.7411e+04
6.2044e+08   8.7369e+04
6.2283e+08   8.7326e+04
6.2522e+08   8.7284e+04
6.2762e+08   8.7242e+04
6.3003e+08   8.7199e+04
6.3245e+08   8.7157e+04
6.3488e+08   8.7114e+04
6.3732e+08   8.7072e+04
6.3977e+08   8.7030e+04
6.4223e+08   8.6987e+04
6.4471e+08   8.6945e+04
6.4719e+08   8.6903e+04
6.4968e+08   8.6860e+04
6.5218e+08   8.6818e+04
6.5469e+08   8.6776e+04
6.5721e+08   8.6733e+04
6.5975e+08   8.6691e+04
6.6229e+08   8.6649e+04
6.6484e+08   8.6606e+04
6.6741e+08   8.6564e+04
6.6998e+08   8.6522e+04
6.7256e+08   8.6479e+04
6.7516e+08   8.6437e+04
6.7777e+08   8.6395e+04
6.8038e+08   8.6352e+04
6.8301e+08   8.6310e+04
6.8565e+08   8.6268e+04
6.8830e+08   8.6225e+04
6.9096e+08   8.6183e+04
6.9363e+08   8.6141e+04
6.9631e+08   8.6098e+04
6.9900e+08   8.6056e+04
7.0171e+08   8.6014e+04
7.0442e+08   8.5971e+04
7.0715e+08   8.5929e+04
7.0989e+08   8.5887e+04
7.1264e+08   8.5844e+04
7.1540e+08   8.5802e+04
7.1817e+08   8.5760e+04
7.2095e+08   8.5717e+04
7.2375e+08   8.5675e+04
7.2655e+08   8.5633e+04
7.2937e+08   8.5590e+04
7.3220e+08   8.5548e+04
7.3504e+08   8.5506e+04
7.3789e+08   8.5463e+04
7.4076e+08   8.5421e+04
7.4363e+08   8.5379e+04
7.4652e+08   8.5336e+04
7.4942e+08   8.5294e+04
7.5233e+08   8.5252e+04
7.5526e+08   8.5209e+04
7.5819e+08   8.5167e+04
7.6114e+08   8.5125e+04
7.6410e+08   8.5082e+04
7.6707e+08   8.5040e+04
7.7006e+08   8.4998e+04
7.7306e+08   8.4955e+04
7.7607e+08   8.4913e+04
7.7909e+08   8.4871e+04
7.8212e+08   8.4828e+04
7.8517e+08   8.4786e+04
7.8823e+08   8.4744e+04
7.9130e+08   8.4701e+04
7.9439e+08   8.4659e+04
7.9748e+08   8.4617e+04
8.0060e+08   8.4574e+04
8.0372e+08   8.4532e+04
8.0686e+08   8.4490e+04
8.1001e+08   8.4447e+04
8.1317e+08   8.4405e+04
8.1634e+08   8.4363e+04
8.1953e+08   8.4320e+04
8.2273e+08   8.4278e+04
8.2595e+08   8.4236e+04
8.2918e+08   8.4193e+04
8.3242e+08   8.4151e+04
8.3568e+08   8.4109e+04
8.3895e+08   8.4066e+04
8.4223e+08   8.4024e+04
8.4552e+08   8.3982e+04
8.4883e+08   8.3939e+04
8.5216e+08   8.3897e+04
8.5550e+08   8.3855e+04
8.5885e+08   8.3812e+04
8.6221e+08   8.3770e+04
8.6559e+08   8.3728e+04
8.6899e+08   8.3685e+04
8.7239e+08   8.3643e+04
8.7581e+08   8.3601e+04
8.7925e+08   8.3558e+04
8.8270e+08   8.3516e+04
8.8617e+08   8.3474e+04
8.8964e+08   8.3431e+04
8.9314e+08   8.3389e+04
8.9665e+08   8.3347e+04
9.0017e+08   8.3304e+04
9.0371e+08   8.3262e+04
9.0726e+08   8.3220e+04
9.1082e+08   8.3177e+04
9.1441e+08   8.3135e+04
9.1800e+08   8.3093e+04
9.2161e+08   8.3051e+04
9.2524e+08   8.3008e+04
9.2888e+08   8.2966e+04
9.3254e+08   8.2924e+04
9.3621e+08   8.2881e+04
9.3990e+08   8.2839e+04
9.4360e+08   8.2797e+04
9.4732e+08   8.2754e+04
9.5105e+08   8.2712e+04
9.5480e+08   8.2670e+04
9.5857e+08   8.2627e+04
9.6235e+08   8.2585e+04
9.6614e+08   8.2543e+04
9.6996e+08   8.2500e+04
9.7379e+08   8.2458e+04
9.7763e+08   8.2416e+04
9.8149e+08   8.2373e+04
9.8537e+08   8.2331e+04
9.8926e+08   8.2289e+04
9.9317e+08   8.2246e+04
9.9709e+08   8.2204e+04
1.0010e+09   8.2162e+04
1.0050e+09   8.2120e+04
1.0090e+09   8.2077e+04
1.0130e+09   8.2035e+04
1.0170e+09   8.1993e+04
1.0210e+09   8.1950e+04
1.0250e+09   8.1908e+04
1.0291e+09   8.1866e+04
1.0332e+09   8.1823e+04
1.0373e+09   8.1781e+04
1.0414e+09   8.1739e+04
1.0455e+09   8.1696e+04
1.0496e+09   8.1654e+04
1.0538e+09   8.1612e+04
1.0580e+09   8.1569e+04
1.0622e+09   8.1527e+04
1.0664e+09   8.1485e+04
1.0706e+09   8.1443e+04
1.0749e+09   8.1400e+04
1.0791e+09   8.1358e+04
1.0834e+09   8.1316e+04
1.0877e+09   8.1273e+04
1.0920e+09   8.1231e+04
1.0964e+09   8.1189e+04
1.1007e+09   8.1146e+04
1.1051e+09   8.1104e+04
1.1095e+09   8.1062e+04
1.1139e+09   8.1019e+04
1.1184e+09   8.0977e+04
1.1228e+09   8.0935e+04
1.1273e+09   8.0893e+04
1.1318e+09   8.0850e+04
1.1363e+09   8.0808e+04
1.1408e+09   8.0766e+04
1.1453e+09   8.0723e+04
1.1499e+09   8.0681e+04
1.1545e+09   8.0639e+04
1.1591e+09   8.0596e+04
1.1637e+09   8.0554e+04
1.1683e+09   8.0512e+04
1.1730e+09   8.0470e+04
1.1777e+09   8.0427e+04
1.1824e+09   8.0385e+04
1.1871e+09   8.0343e+04
1.1918e+09   8.0300e+04
1.1966e+09   8.0258e+04
1.2014e+09   8.0216e+04
1.2062e+09   8.0173e+04
1.2110e+09   8.0131e+04
1.2158e+09   8.0089e+04
1.2207e+09   8.0046e+04
1.2256e+09   8.0004e+04
1.2305e+09   7.9962e+04
1.2354e+09   7.9920e+04
1.2403e+09   7.9877e+04
1.2453e+09   7.9835e+04
1.2503e+09   7.9793e+04
1.2553e+09   7.9750e+04
1.2603e+09   7.9708e+04
1.2653e+09   7.9666e+04
1.2704e+09   7.9624e+04
1.2755e+09   7.9581e+04
1.2806e+09   7.9539e+04
1.2857e+09   7.9497e+04
1.2909e+09   7.9454e+04
1.2961e+09   7.9412e+04
1.3013e+09   7.9370e+04
1.3065e+09   7.9327e+04
1.3117e+09   7.9285e+04
1.3170e+09   7.9243e+04
1.3223e+09   7.9201e+04
1.3276e+09   7.9158e+04
1.3329e+09   7.9116e+04
1.3383e+09   7.9074e+04
1.3436e+09   7.9031e+04
1.3490e+09   7.8989e+04
1.3545e+09   7.8947e+04
1.3599e+09   7.8904e+04
1.3654e+09   7.8862e+04
1.3709e+09   7.8820e+04
1.3764e+09   7.8778e+04
1.3819e+09   7.8735e+04
1.3875e+09   7.8693e+04
1.3930e+09   7.8651e+04
1.3987e+09   7.8608e+04
1.4043e+09   7.8566e+04
1.4099e+09   7.8524e+04
1.4156e+09   7.8482e+04
1.4213e+09   7.8439e+04
1.4270e+09   7.8397e+04
1.4328e+09   7.8355e+04
1.4386e+09   7.8312e+04
1.4444e+09   7.8270e+04
1.4502e+09   7.8228e+04
1.4560e+09   7.8186e+04
1.4619e+09   7.8143e+04
1.4678e+09   7.8101e+04
1.4737e+09   7.8059e+04
1.4797e+09   7.8016e+04
1.4856e+09   7.7974e+04
1.4916e+09   7.7932e+04
1.4977e+09   7.7890e+04
1.5037e+09   7.7847e+04
1.5098e+09   7.7805e+04
1.5159e+09   7.7763e+04
1.5220e+09   7.7720e+04
1.5281e+09   7.7678e+04
1.5343e+09   7.7636e+04
1.5405e+09   7.7594e+04
1.5468e+09   7.7551e+04
1.5530e+09   7.7509e+04
1.5593e+09   7.7467e+04
1.5656e+09   7.7424e+04
1.5719e+09   7.7382e+04
1.5783e+09   7.7340e+04
1.5847e+09   7.7298e+04
1.5911e+09   7.7255e+04
1.5975e+09   7.7213e+04
1.6040e+09   7.7171e+04
1.6105e+09   7.7128e+04
1.6170e+09   7.7086e+04
1.6236e+09   7.7044e+04
1.6302e+09   7.7002e+04
1.6368e+09   7.6959e+04
1.6434e+09   7.6917e+04
1.6501e+09   7.6875e+04
1.6568e+09   7.6833e+04
1.6635e+09   7.6790e+04
1.6702e+09   7.6748e+04
1.6770e+09   7.6706e+04
1.6838e+09   7.6663e+04
1.6906e+09   7.6621e+04
1.6975e+09   7.6579e+04
1.7044e+09   7.6537e+04
1.7113e+09   7.6494e+04
1.7183e+09   7.6452e+04
1.7252e+09   7.6410e+04
1.7322e+09   7.6367e+04
1.7393e+09   7.6325e+04
1.7464e+09   7.6283e+04
1.7535e+09   7.6241e+04
1.7606e+09   7.6198e+04
1.7677e+09   7.6156e+04
1.7749e+09   7.6114e+04
1.7821e+09   7.6072e+04
1.7894e+09   7.6029e+04
1.7967e+09   7.5987e+04
1.8040e+09   7.5945e+04
1.8113e+09   7.5902e+04
1.8187e+09   7.5860e+04
1.8261e+09   7.5818e+04
1.8335e+09   7.5776e+04
1.8410e+09   7.5733e+04
1.8485e+09   7.5691e+04
1.8560e+09   7.5649e+04
1.8636e+09   7.5607e+04
1.8712e+09   7.5564e+04
1.8788e+09   7.5522e+04
1.8865e+09   7.5480e+04
1.8942e+09   7.5437e+04
1.9019e+09   7.5395e+04
1.9096e+09   7.5353e+04
1.9174e+09   7.5311e+04
1.9253e+09   7.5268e+04
1.9331e+09   7.5226e+04
1.9410e+09   7.5184e+04
1.9489e+09   7.5142e+04
1.9569e+09   7.5099e+04
1.9649e+09   7.5057e+04
1.9729e+09   7.5015e+04
1.9809e+09   7.4973e+04
1.9890e+09   7.4930e+04
1.9971e+09   7.4888e+04
2.0053e+09   7.4846e+04
2.0135e+09   7.4803e+04
2.0217e+09   7.4761e+04
2.0300e+09   7.4719e+04
2.0383e+09   7.4677e+04
2.0466e+09   7.4634e+04
2.0550e+09   7.4592e+04
2.0634e+09   7.4550e+04
2.0718e+09   7.4508e+04
2.0803e+09   7.4465e+04
2.0888e+09   7.4423e+04
2.0973e+09   7.4381e+04
2.1059e+09   7.4339e+04
2.1145e+09   7.4296e+04
2.1232e+09   7.4254e+04
2.1319e+09   7.4212e+04
2.1406e+09   7.4170e+04
2.1494e+09   7.4127e+04
2.1582e+09   7.4085e+04
2.1670e+09   7.4043e+04
2.1759e+09   7.4001e+04
2.1848e+09   7.3958e+04
2.1938e+09   7.3916e+04
2.2027e+09   7.3874e+04
2.2118e+09   7.3831e+04
2.2208e+09   7.3789e+04
2.2299e+09   7.3747e+04
2.2391e+09   7.3705e+04
2.2482e+09   7.3662e+04
2.2575e+09   7.3620e+04
2.2667e+09   7.3578e+04
2.2760e+09   7.3536e+04
2.2853e+09   7.3493e+04
2.2947e+09   7.3451e+04
2.3041e+09   7.3409e+04
2.3136e+09   7.3367e+04
2.3231e+09   7.3324e+04
2.3326e+09   7.3282e+04
2.3422e+09   7.3240e+04
2.3518e+09   7.3198e+04
2.3614e+09   7.3155e+04
2.3711e+09   7.3113e+04
2.3809e+09   7.3071e+04
2.3906e+09   7.3029e+04
2.4005e+09   7.2986e+04
2.4103e+09   7.2944e+04
2.4202e+09   7.2902e+04
2.4302e+09   7.2860e+04
2.4401e+09   7.2817e+04
2.4502e+09   7.2775e+04
2.4602e+09   7.2733e+04
2.4703e+09   7.2691e+04
2.4805e+09   7.2648e+04
2.4907e+09   7.2606e+04
2.5009e+09   7.2564e+04
2.5112e+09   7.2522e+04
2.5215e+09   7.2479e+04
2.5319e+09   7.2437e+04
2.5423e+09   7.2395e+04
2.5527e+09   7.2353e+04
2.5632e+09   7.2310e+04
2.5738e+09   7.2268e+04
2.5844e+09   7.2226e+04
2.5950e+09   7.2184e+04
2.6057e+09   7.2141e+04
2.6164e+09   7.2099e+04
2.6271e+09   7.2057e+04
2.6379e+09   7.2015e+04
2.6488e+09   7.1972e+04
2.6597e+09   7.1930e+04
