time_seconds,energy
1773773695.341,1.4850058811485042e-15
1773773695.343,1.584993885407138e-15
1773773695.345,1.085053969993087e-15
1773773695.347,1.085053969993087e-15
1773773695.349,1.1850418683726025e-15
1773773695.351,9.850659657344532e-16
1773773695.441,1.584993885407138e-15
1773773695.443,1.4850058811485042e-15
1773773695.445,2.0849339067003075e-15
1773773695.447,2.2849099152175752e-15
1773773695.449,2.384897919476209e-15
1773773695.451,2.1849219109589414e-15
1773773695.453,2.584873927993477e-15
1773773695.455,3.18480195354528e-15
1773773695.457,2.584873927993477e-15
1773773695.459,2.384897919476209e-15
1773773695.461,2.384897919476209e-15
1773773695.463,2.1849219109589414e-15
1773773695.465,2.484885923734843e-15
1773773695.466,2.7848499365107447e-15
1773773695.469,2.584873927993477e-15
1773773695.471,2.584873927993477e-15
1773773695.473,2.584873927993477e-15
1773773695.474,2.1849219109589414e-15
1773773695.477,1.9849459024416736e-15
1773773695.479,2.384897919476209e-15
1773773695.481,2.384897919476209e-15
1773773695.482,2.6848619322521108e-15
1773773695.484,3.0848139492866463e-15
1773773695.487,3.484765966321182e-15
1773773695.489,2.9848259450280124e-15
1773773695.49,3.584753970579816e-15
1773773695.492,3.384777962062548e-15
1773773695.494,3.384777962062548e-15
1773773695.497,2.7848499365107447e-15
1773773695.498,2.584873927993477e-15
1773773695.5,2.584873927993477e-15
1773773695.502,2.384897919476209e-15
1773773695.504,2.0849339067003075e-15
1773773695.506,1.9849459024416736e-15
1773773695.508,1.784969893924406e-15
1773773695.51,1.2850298726312364e-15
1773773695.512,1.1850418683726025e-15
1773773695.514,8.850779614758193e-16
1773773695.516,1.584993885407138e-15
1773773695.518,2.584873927993477e-15
1773773695.52,2.1849219109589414e-15
1773773695.522,3.384777962062548e-15
1773773695.524,4.484645585391047e-15
1773773695.526,5.58451363223602e-15
1773773695.528,4.584633589649681e-15
1773773695.53,2.1849219109589414e-15
1773773695.532,1.4850058811485042e-15
1773773695.534,1.9849459024416736e-15
1773773695.536,2.8848379407693785e-15
1773773695.538,1.3850178768898703e-15
1773773695.54,1.3850178768898703e-15
1773773695.542,1.584993885407138e-15
1773773695.544,2.2849099152175752e-15
1773773695.546,2.9848259450280124e-15
1773773695.548,3.384777962062548e-15
1773773695.55,3.7847299790970835e-15
1773773695.552,4.9845856066842165e-15
1773773695.554,5.384537623718752e-15
1773773695.556,4.9845856066842165e-15
1773773695.558,4.1846815726151454e-15
1773773695.56,3.584753970579816e-15
1773773695.562,3.484765966321182e-15
1773773695.564,3.584753970579816e-15
1773773695.566,2.8848379407693785e-15
1773773695.568,2.6848619322521108e-15
1773773695.57,1.9849459024416736e-15
1773773695.572,1.584993885407138e-15
1773773695.574,8.850779614758193e-16
1773773695.582,1.085053969993087e-15
1773773695.584,1.684981889665772e-15
1773773695.586,1.2850298726312364e-15
