time_seconds,energy
1773752200.558,1.048392584090908e-14
1773752200.56,1.048392584090908e-14
1773752200.562,1.0883877857943616e-14
1773752200.564,1.1283829874978151e-14
1773752200.566,1.1083853866460883e-14
1773752200.568,1.0883877857943616e-14
1773752200.57,1.1183841870719517e-14
1773752200.572,1.1483805883495419e-14
1773752200.574,1.1683781892012687e-14
1773752200.576,1.1883757900529954e-14
1773752200.578,1.178376989627132e-14
1773752200.58,1.1483805883495419e-14
1773752200.582,1.1383817879236785e-14
1773752200.584,1.1883757900529954e-14
1773752200.586,1.1983745904788588e-14
1773752200.588,1.1983745904788588e-14
1773752200.59,1.1683781892012687e-14
1773752200.592,1.1583793887754053e-14
1773752200.594,1.178376989627132e-14
1773752200.596,1.1683781892012687e-14
1773752200.598,1.2183721913305856e-14
1773752200.6,1.1983745904788588e-14
1773752200.602,1.178376989627132e-14
1773752200.604,1.1383817879236785e-14
1773752200.606,1.1683781892012687e-14
1773752200.608,1.1483805883495419e-14
1773752200.612,1.178376989627132e-14
1773752200.614,1.1483805883495419e-14
1773752200.616,1.1483805883495419e-14
1773752200.618,1.1283829874978151e-14
1773752200.62,1.1383817879236785e-14
1773752200.622,1.1883757900529954e-14
1773752200.624,1.1883757900529954e-14
1773752200.626,1.1483805883495419e-14
1773752200.628,1.1383817879236785e-14
1773752200.63,1.1483805883495419e-14
1773752200.632,1.1083853866460883e-14
1773752200.634,1.0883877857943616e-14
1773752200.636,1.1083853866460883e-14
1773752200.638,1.1083853866460883e-14
1773752200.64,1.1083853866460883e-14
1773752200.642,1.048392584090908e-14
1773752200.644,1.098386586220225e-14
1773752200.646,1.048392584090908e-14
1773752200.648,1.1383817879236785e-14
1773752200.65,1.0383937836650446e-14
1773752200.652,1.0583913845167714e-14
1773752200.654,1.048392584090908e-14
1773752200.656,1.0583913845167714e-14
1773752200.658,1.0383937836650446e-14
1773752200.659,1.048392584090908e-14
1773752200.662,1.0083973823874545e-14
1773752200.664,9.684021806840009e-15
