time_seconds,energy
1773757144.605,8.850779614758193e-16
1773757144.607,7.850899572171854e-16
1773757144.613,9.850659657344532e-16
1773757144.615,8.850779614758193e-16
1773757144.617,8.850779614758193e-16
1773757144.619,7.850899572171854e-16
1773757144.623,1.085053969993087e-15
1773757144.625,1.085053969993087e-15
1773757144.627,1.2850298726312364e-15
1773757144.629,1.1850418683726025e-15
1773757144.631,8.850779614758193e-16
1773757144.633,1.2850298726312364e-15
1773757144.635,1.784969893924406e-15
1773757144.637,1.4850058811485042e-15
1773757144.639,1.4850058811485042e-15
1773757144.641,1.3850178768898703e-15
1773757144.643,1.3850178768898703e-15
1773757144.645,1.085053969993087e-15
1773757144.647,1.085053969993087e-15
1773757144.649,8.850779614758193e-16
1773757144.65,1.2850298726312364e-15
1773757144.653,1.3850178768898703e-15
1773757144.655,9.850659657344532e-16
1773757144.657,1.085053969993087e-15
1773757144.658,1.085053969993087e-15
1773757144.661,8.850779614758193e-16
