time_seconds,energy
1773723886.998,8.584153759995036e-15
1773723887.0,1.3883517985702632e-14
1773723887.001,1.5183362041064873e-14
1773723887.003,1.718312212623755e-14
1773723887.006,1.9182882211410228e-14
1773723887.008,2.24824855049122e-14
1773723887.009,2.5782090492480064e-14
1773723887.011,2.6981944849517776e-14
1773723887.013,3.228130653412653e-14
1773723887.016,3.1081450483022924e-14
1773723887.018,2.988159443191932e-14
1773723887.019,2.6182040815448705e-14
1773723887.021,2.6981944849517776e-14
1773723887.024,2.24824855049122e-14
1773723887.026,2.24824855049122e-14
1773723887.027,1.8382978177341157e-14
1773723887.029,1.5183362041064873e-14
1773723887.031,1.2683661934599025e-14
1773723887.034,9.384057794064107e-15
1773723887.035,9.784009811098643e-15
1773723887.037,9.784009811098643e-15
1773723887.039,1.1083853866460883e-14
1773723887.041,8.584153759995036e-15
1773723887.043,9.384057794064107e-15
1773723887.045,6.984345691856894e-15
1773723887.047,7.38429770889143e-15
1773723887.656,2.0382738262513835e-14
1773723887.658,3.728070844112412e-14
1773723887.66,6.047792881725897e-14
1773723887.662,9.227410908930686e-14
1773723887.664,1.2487019339542382e-13
1773723887.666,1.6396549374318725e-13
1773723887.668,1.686649274022442e-13
1773723887.67,1.7376432324273106e-13
1773723887.672,1.7116463682607247e-13
1773723887.674,1.7896369607604823e-13
1773723887.676,1.8156338249270682e-13
1773723887.677,1.7256446380349566e-13
1773723887.68,1.5506656559933357e-13
1773723887.682,1.4996718331137388e-13
1773723887.684,1.5036713194027662e-13
1773723887.685,1.5226689809196003e-13
1773723887.687,1.5036713194027662e-13
1773723887.69,1.4796741306180583e-13
1773723887.692,1.4446783884198428e-13
1773723887.693,1.4366792803165163e-13
1773723887.695,1.3776864848588644e-13
1773723887.697,1.361688404177483e-13
1773723887.7,1.3386911208463498e-13
1773723887.701,1.2447024476652108e-13
1773723887.703,1.2287043669838293e-13
1773723887.705,1.169711436000906e-13
1773723887.707,1.1657118141866069e-13
1773723887.71,1.157712841608552e-13
1773723887.711,1.094720424336601e-13
1773723887.713,1.0717232087681036e-13
1773723887.715,1.0397270474053408e-13
1773723887.718,1.0167298318368434e-13
1773723887.719,9.817340218759921e-14
1773723887.721,9.657359411946106e-14
1773723887.723,9.187416046040411e-14
1773723887.725,8.94744483581969e-14
1773723887.727,8.597486736211177e-14
1773723887.729,7.927567022975035e-14
1773723887.731,7.657599326773429e-14
1773723887.733,6.947684750647012e-14
1773723887.735,6.517736247631592e-14
1773723887.737,6.047792881725897e-14
1773723887.739,5.577848838193844e-14
1773723887.741,4.9879195283646094e-14
1773723887.743,4.587967511330074e-14
1773723887.745,3.8480564492227726e-14
1773723887.747,3.728070844112412e-14
1773723887.749,3.05815113087627e-14
1773723887.751,2.6282029666740286e-14
1773723887.753,2.2382498347686512e-14
1773723887.755,1.888291735160138e-14
1773723887.757,1.608325323235963e-14
1773723887.759,1.40834939942199e-14
1773723887.761,1.2183721913305856e-14
1773723887.763,6.284429662046457e-15
