Dia: 8.0 m | Vel: 20.0 km/s | theta: 45.0 deg | Strength: 1.0e+05 Pa
Power (W)    Altitude (m)
1.3316e+10   9.9958e+04
1.3363e+10   9.9915e+04
1.3411e+10   9.9873e+04
1.3459e+10   9.9830e+04
1.3507e+10   9.9788e+04
1.3555e+10   9.9745e+04
1.3603e+10   9.9703e+04
1.3652e+10   9.9661e+04
1.3701e+10   9.9618e+04
1.3750e+10   9.9576e+04
1.3799e+10   9.9533e+04
1.3849e+10   9.9491e+04
1.3898e+10   9.9448e+04
1.3948e+10   9.9406e+04
1.3998e+10   9.9364e+04
1.4048e+10   9.9321e+04
1.4098e+10   9.9279e+04
1.4149e+10   9.9236e+04
1.4200e+10   9.9194e+04
1.4251e+10   9.9152e+04
1.4302e+10   9.9109e+04
1.4353e+10   9.9067e+04
1.4405e+10   9.9024e+04
1.4456e+10   9.8982e+04
1.4508e+10   9.8939e+04
1.4561e+10   9.8897e+04
1.4613e+10   9.8855e+04
1.4665e+10   9.8812e+04
1.4718e+10   9.8770e+04
1.4771e+10   9.8727e+04
1.4824e+10   9.8685e+04
1.4878e+10   9.8642e+04
1.4931e+10   9.8600e+04
1.4985e+10   9.8558e+04
1.5039e+10   9.8515e+04
1.5093e+10   9.8473e+04
1.5148e+10   9.8430e+04
1.5202e+10   9.8388e+04
1.5257e+10   9.8346e+04
1.5312e+10   9.8303e+04
1.5367e+10   9.8261e+04
1.5423e+10   9.8218e+04
1.5479e+10   9.8176e+04
1.5535e+10   9.8133e+04
1.5591e+10   9.8091e+04
1.5647e+10   9.8049e+04
1.5704e+10   9.8006e+04
1.5760e+10   9.7964e+04
1.5817e+10   9.7921e+04
1.5875e+10   9.7879e+04
1.5932e+10   9.7837e+04
1.5990e+10   9.7794e+04
1.6048e+10   9.7752e+04
1.6106e+10   9.7709e+04
1.6164e+10   9.7667e+04
1.6223e+10   9.7625e+04
1.6282e+10   9.7582e+04
1.6341e+10   9.7540e+04
1.6400e+10   9.7497e+04
1.6459e+10   9.7455e+04
1.6519e+10   9.7412e+04
1.6579e+10   9.7370e+04
1.6639e+10   9.7328e+04
1.6700e+10   9.7285e+04
1.6760e+10   9.7243e+04
1.6821e+10   9.7200e+04
1.6883e+10   9.7158e+04
1.6944e+10   9.7116e+04
1.7006e+10   9.7073e+04
1.7067e+10   9.7031e+04
1.7130e+10   9.6988e+04
1.7192e+10   9.6946e+04
1.7255e+10   9.6904e+04
1.7317e+10   9.6861e+04
1.7381e+10   9.6819e+04
1.7444e+10   9.6776e+04
1.7508e+10   9.6734e+04
1.7571e+10   9.6692e+04
1.7635e+10   9.6649e+04
1.7700e+10   9.6607e+04
1.7764e+10   9.6564e+04
1.7829e+10   9.6522e+04
1.7894e+10   9.6479e+04
1.7960e+10   9.6437e+04
1.8025e+10   9.6395e+04
1.8091e+10   9.6352e+04
1.8158e+10   9.6310e+04
1.8224e+10   9.6267e+04
1.8291e+10   9.6225e+04
1.8358e+10   9.6183e+04
1.8425e+10   9.6140e+04
1.8492e+10   9.6098e+04
1.8560e+10   9.6055e+04
1.8628e+10   9.6013e+04
1.8696e+10   9.5971e+04
1.8765e+10   9.5928e+04
1.8834e+10   9.5886e+04
1.8903e+10   9.5843e+04
1.8972e+10   9.5801e+04
1.9042e+10   9.5759e+04
1.9112e+10   9.5716e+04
1.9182e+10   9.5674e+04
1.9252e+10   9.5631e+04
1.9323e+10   9.5589e+04
1.9394e+10   9.5547e+04
1.9465e+10   9.5504e+04
1.9537e+10   9.5462e+04
1.9609e+10   9.5419e+04
1.9681e+10   9.5377e+04
1.9753e+10   9.5335e+04
1.9826e+10   9.5292e+04
1.9899e+10   9.5250e+04
1.9972e+10   9.5207e+04
2.0046e+10   9.5165e+04
2.0120e+10   9.5123e+04
2.0194e+10   9.5080e+04
2.0269e+10   9.5038e+04
2.0343e+10   9.4995e+04
2.0418e+10   9.4953e+04
2.0494e+10   9.4911e+04
2.0570e+10   9.4868e+04
2.0645e+10   9.4826e+04
2.0722e+10   9.4783e+04
2.0798e+10   9.4741e+04
2.0875e+10   9.4699e+04
2.0952e+10   9.4656e+04
2.1030e+10   9.4614e+04
2.1108e+10   9.4572e+04
2.1186e+10   9.4529e+04
2.1264e+10   9.4487e+04
2.1343e+10   9.4444e+04
2.1422e+10   9.4402e+04
2.1502e+10   9.4360e+04
2.1581e+10   9.4317e+04
2.1661e+10   9.4275e+04
2.1742e+10   9.4232e+04
2.1822e+10   9.4190e+04
2.1903e+10   9.4148e+04
2.1984e+10   9.4105e+04
2.2066e+10   9.4063e+04
2.2148e+10   9.4020e+04
2.2230e+10   9.3978e+04
2.2313e+10   9.3936e+04
2.2396e+10   9.3893e+04
2.2479e+10   9.3851e+04
2.2563e+10   9.3808e+04
2.2647e+10   9.3766e+04
2.2731e+10   9.3724e+04
2.2816e+10   9.3681e+04
2.2901e+10   9.3639e+04
2.2986e+10   9.3597e+04
2.3072e+10   9.3554e+04
2.3158e+10   9.3512e+04
2.3244e+10   9.3469e+04
2.3331e+10   9.3427e+04
2.3418e+10   9.3385e+04
2.3505e+10   9.3342e+04
2.3593e+10   9.3300e+04
2.3681e+10   9.3257e+04
2.3769e+10   9.3215e+04
2.3858e+10   9.3173e+04
2.3947e+10   9.3130e+04
2.4037e+10   9.3088e+04
2.4127e+10   9.3046e+04
2.4217e+10   9.3003e+04
2.4307e+10   9.2961e+04
2.4398e+10   9.2918e+04
2.4490e+10   9.2876e+04
2.4581e+10   9.2834e+04
2.4673e+10   9.2791e+04
