Dia: 1.1 m | Vel: 33.5 km/s | theta: 22.5 deg | Strength: 1.0e+05 Pa
Power (W)    Altitude (m)
2.0291e+10   7.2488e+04
2.0365e+10   7.2449e+04
2.0439e+10   7.2411e+04
2.0514e+10   7.2373e+04
2.0589e+10   7.2335e+04
2.0664e+10   7.2297e+04
2.0739e+10   7.2258e+04
2.0815e+10   7.2220e+04
2.0891e+10   7.2182e+04
2.0967e+10   7.2144e+04
2.1044e+10   7.2106e+04
2.1121e+10   7.2068e+04
2.1198e+10   7.2029e+04
2.1275e+10   7.1991e+04
2.1353e+10   7.1953e+04
2.1431e+10   7.1915e+04
2.1509e+10   7.1877e+04
2.1587e+10   7.1838e+04
2.1666e+10   7.1800e+04
2.1745e+10   7.1762e+04
2.1824e+10   7.1724e+04
2.1904e+10   7.1686e+04
2.1984e+10   7.1648e+04
2.2064e+10   7.1609e+04
2.2145e+10   7.1571e+04
2.2225e+10   7.1533e+04
2.2306e+10   7.1495e+04
2.2388e+10   7.1457e+04
2.2469e+10   7.1419e+04
2.2551e+10   7.1380e+04
2.2633e+10   7.1342e+04
2.2716e+10   7.1304e+04
2.2799e+10   7.1266e+04
2.2882e+10   7.1228e+04
2.2965e+10   7.1190e+04
2.3049e+10   7.1152e+04
2.3133e+10   7.1113e+04
2.3217e+10   7.1075e+04
2.3302e+10   7.1037e+04
2.3387e+10   7.0999e+04
2.3472e+10   7.0961e+04
2.3557e+10   7.0923e+04
2.3643e+10   7.0885e+04
2.3729e+10   7.0846e+04
2.3816e+10   7.0808e+04
2.3903e+10   7.0770e+04
2.3990e+10   7.0732e+04
2.4077e+10   7.0694e+04
2.4165e+10   7.0656e+04
2.4252e+10   7.0618e+04
2.4341e+10   7.0579e+04
2.4429e+10   7.0541e+04
2.4518e+10   7.0503e+04
2.4607e+10   7.0465e+04
2.4697e+10   7.0427e+04
2.4787e+10   7.0389e+04
2.4877e+10   7.0351e+04
2.4967e+10   7.0313e+04
2.5058e+10   7.0274e+04
2.5149e+10   7.0236e+04
2.5241e+10   7.0198e+04
2.5332e+10   7.0160e+04
2.5424e+10   7.0122e+04
2.5517e+10   7.0084e+04
2.5610e+10   7.0046e+04
2.5703e+10   7.0008e+04
2.5796e+10   6.9970e+04
2.5890e+10   6.9931e+04
2.5984e+10   6.9893e+04
2.6078e+10   6.9855e+04
2.6173e+10   6.9817e+04
2.6268e+10   6.9779e+04
2.6363e+10   6.9741e+04
2.6459e+10   6.9703e+04
2.6555e+10   6.9665e+04
2.6651e+10   6.9627e+04
2.6748e+10   6.9589e+04
2.6845e+10   6.9550e+04
2.6942e+10   6.9512e+04
2.7040e+10   6.9474e+04
2.7138e+10   6.9436e+04
2.7236e+10   6.9398e+04
2.7335e+10   6.9360e+04
2.7434e+10   6.9322e+04
2.7533e+10   6.9284e+04
2.7633e+10   6.9246e+04
2.7733e+10   6.9208e+04
2.7833e+10   6.9170e+04
2.7934e+10   6.9132e+04
2.8035e+10   6.9093e+04
2.8137e+10   6.9055e+04
2.8238e+10   6.9017e+04
2.8341e+10   6.8979e+04
2.8443e+10   6.8941e+04
2.8546e+10   6.8903e+04
2.8649e+10   6.8865e+04
2.8753e+10   6.8827e+04
2.8856e+10   6.8789e+04
2.8961e+10   6.8751e+04
2.9065e+10   6.8713e+04
2.9170e+10   6.8675e+04
2.9276e+10   6.8637e+04
2.9381e+10   6.8599e+04
2.9487e+10   6.8561e+04
2.9594e+10   6.8522e+04
2.9700e+10   6.8484e+04
2.9808e+10   6.8446e+04
2.9915e+10   6.8408e+04
3.0023e+10   6.8370e+04
3.0131e+10   6.8332e+04
3.0240e+10   6.8294e+04
3.0349e+10   6.8256e+04
3.0458e+10   6.8218e+04
3.0568e+10   6.8180e+04
3.0678e+10   6.8142e+04
3.0788e+10   6.8104e+04
3.0899e+10   6.8066e+04
3.1010e+10   6.8028e+04
3.1121e+10   6.7990e+04
3.1233e+10   6.7952e+04
3.1346e+10   6.7914e+04
3.1458e+10   6.7876e+04
3.1571e+10   6.7838e+04
3.1685e+10   6.7800e+04
3.1798e+10   6.7762e+04
3.1913e+10   6.7724e+04
3.2027e+10   6.7686e+04
3.2142e+10   6.7648e+04
3.2257e+10   6.7610e+04
3.2373e+10   6.7572e+04
3.2489e+10   6.7534e+04
3.2605e+10   6.7496e+04
3.2722e+10   6.7457e+04
3.2839e+10   6.7419e+04
3.2957e+10   6.7381e+04
3.3075e+10   6.7343e+04
3.3193e+10   6.7305e+04
3.3312e+10   6.7267e+04
3.3431e+10   6.7229e+04
3.3550e+10   6.7191e+04
3.3670e+10   6.7153e+04
3.3791e+10   6.7115e+04
3.3911e+10   6.7077e+04
3.4032e+10   6.7039e+04
3.4154e+10   6.7001e+04
3.4276e+10   6.6963e+04
3.4398e+10   6.6925e+04
3.4521e+10   6.6887e+04
3.4644e+10   6.6849e+04
3.4767e+10   6.6811e+04
3.4891e+10   6.6773e+04
3.5015e+10   6.6735e+04
3.5140e+10   6.6697e+04
3.5265e+10   6.6659e+04
3.5390e+10   6.6621e+04
3.5516e+10   6.6583e+04
3.5642e+10   6.6546e+04
3.5769e+10   6.6508e+04
3.5896e+10   6.6470e+04
3.6023e+10   6.6432e+04
3.6151e+10   6.6394e+04
3.6279e+10   6.6356e+04
3.6408e+10   6.6318e+04
3.6537e+10   6.6280e+04
3.6666e+10   6.6242e+04
3.6796e+10   6.6204e+04
3.6926e+10   6.6166e+04
3.7057e+10   6.6128e+04
3.7188e+10   6.6090e+04
3.7319e+10   6.6052e+04
3.7451e+10   6.6014e+04
3.7584e+10   6.5976e+04
3.7716e+10   6.5938e+04
3.7849e+10   6.5900e+04
3.7983e+10   6.5862e+04
3.8117e+10   6.5824e+04
3.8251e+10   6.5786e+04
3.8386e+10   6.5748e+04
3.8521e+10   6.5710e+04
3.8657e+10   6.5672e+04
3.8793e+10   6.5634e+04
3.8929e+10   6.5596e+04
3.9066e+10   6.5558e+04
3.9203e+10   6.5520e+04
3.9341e+10   6.5483e+04
3.9479e+10   6.5445e+04
3.9617e+10   6.5407e+04
3.9756e+10   6.5369e+04
3.9896e+10   6.5331e+04
4.0035e+10   6.5293e+04
4.0176e+10   6.5255e+04
4.0316e+10   6.5217e+04
4.0457e+10   6.5179e+04
4.0599e+10   6.5141e+04
4.0740e+10   6.5103e+04
4.0883e+10   6.5065e+04
4.1025e+10   6.5027e+04
4.1168e+10   6.4989e+04
4.1312e+10   6.4951e+04
4.1456e+10   6.4914e+04
4.1600e+10   6.4876e+04
4.1745e+10   6.4838e+04
4.1890e+10   6.4800e+04
4.2036e+10   6.4762e+04
4.2182e+10   6.4724e+04
4.2328e+10   6.4686e+04
4.2475e+10   6.4648e+04
6.7477e+10   6.4610e+04
6.7760e+10   6.4572e+04
6.7982e+10   6.4534e+04
6.8204e+10   6.4496e+04
6.8427e+10   6.4459e+04
6.8650e+10   6.4421e+04
6.8874e+10   6.4383e+04
6.9098e+10   6.4345e+04
6.9323e+10   6.4307e+04
6.9548e+10   6.4269e+04
6.9774e+10   6.4231e+04
7.0000e+10   6.4193e+04
7.0227e+10   6.4155e+04
7.0454e+10   6.4117e+04
7.0682e+10   6.4080e+04
7.0910e+10   6.4042e+04
7.1139e+10   6.4004e+04
7.1368e+10   6.3966e+04
7.1598e+10   6.3928e+04
7.1828e+10   6.3890e+04
7.2059e+10   6.3852e+04
7.2290e+10   6.3814e+04
7.2522e+10   6.3777e+04
7.2754e+10   6.3739e+04
7.2987e+10   6.3701e+04
7.3220e+10   6.3663e+04
7.3454e+10   6.3625e+04
7.3688e+10   6.3587e+04
7.3923e+10   6.3549e+04
7.4158e+10   6.3511e+04
7.4393e+10   6.3474e+04
7.4630e+10   6.3436e+04
7.4866e+10   6.3398e+04
7.5103e+10   6.3360e+04
7.5340e+10   6.3322e+04
7.5578e+10   6.3284e+04
7.5817e+10   6.3246e+04
7.6056e+10   6.3208e+04
7.6295e+10   6.3171e+04
7.6535e+10   6.3133e+04
7.6775e+10   6.3095e+04
7.7015e+10   6.3057e+04
7.7257e+10   6.3019e+04
7.7498e+10   6.2981e+04
7.7740e+10   6.2944e+04
7.7982e+10   6.2906e+04
7.8225e+10   6.2868e+04
7.8468e+10   6.2830e+04
7.8712e+10   6.2792e+04
7.8956e+10   6.2754e+04
7.9201e+10   6.2716e+04
7.9446e+10   6.2679e+04
7.9691e+10   6.2641e+04
7.9937e+10   6.2603e+04
8.0183e+10   6.2565e+04
