Dia: 64.0 m | Vel: 20.0 km/s | theta: 45.0 deg | Strength: 1.0e+05 Pa
Power (W)    Altitude (m)
1.7421e+12   9.1689e+04
1.7487e+12   9.1647e+04
1.7553e+12   9.1605e+04
1.7619e+12   9.1562e+04
1.7686e+12   9.1520e+04
1.7753e+12   9.1477e+04
1.7820e+12   9.1435e+04
1.7887e+12   9.1393e+04
1.7955e+12   9.1350e+04
1.8023e+12   9.1308e+04
1.8091e+12   9.1266e+04
1.8160e+12   9.1223e+04
1.8229e+12   9.1181e+04
1.8298e+12   9.1138e+04
1.8367e+12   9.1096e+04
1.8437e+12   9.1054e+04
1.8507e+12   9.1011e+04
1.8577e+12   9.0969e+04
1.8648e+12   9.0927e+04
1.8719e+12   9.0884e+04
1.8790e+12   9.0842e+04
1.8862e+12   9.0800e+04
1.8933e+12   9.0757e+04
1.9005e+12   9.0715e+04
1.9078e+12   9.0672e+04
1.9150e+12   9.0630e+04
1.9223e+12   9.0588e+04
1.9296e+12   9.0545e+04
1.9370e+12   9.0503e+04
1.9444e+12   9.0461e+04
1.9518e+12   9.0418e+04
1.9592e+12   9.0376e+04
1.9667e+12   9.0333e+04
1.9742e+12   9.0291e+04
1.9817e+12   9.0249e+04
1.9893e+12   9.0206e+04
1.9969e+12   9.0164e+04
2.0045e+12   9.0122e+04
2.0122e+12   9.0079e+04
2.0199e+12   9.0037e+04
2.0276e+12   8.9995e+04
2.0354e+12   8.9952e+04
2.0432e+12   8.9910e+04
2.0510e+12   8.9867e+04
2.0588e+12   8.9825e+04
2.0667e+12   8.9783e+04
2.0746e+12   8.9740e+04
2.0826e+12   8.9698e+04
2.0906e+12   8.9656e+04
2.0986e+12   8.9613e+04
2.1066e+12   8.9571e+04
2.1147e+12   8.9529e+04
2.1228e+12   8.9486e+04
2.1310e+12   8.9444e+04
2.1392e+12   8.9401e+04
2.1474e+12   8.9359e+04
2.1557e+12   8.9317e+04
2.1639e+12   8.9274e+04
2.1723e+12   8.9232e+04
2.1806e+12   8.9190e+04
2.1890e+12   8.9147e+04
2.1974e+12   8.9105e+04
2.2059e+12   8.9063e+04
2.2144e+12   8.9020e+04
2.2229e+12   8.8978e+04
2.2315e+12   8.8935e+04
2.2401e+12   8.8893e+04
2.2487e+12   8.8851e+04
2.2574e+12   8.8808e+04
2.2661e+12   8.8766e+04
2.2748e+12   8.8724e+04
2.2836e+12   8.8681e+04
2.2924e+12   8.8639e+04
2.3013e+12   8.8597e+04
2.3102e+12   8.8554e+04
2.3191e+12   8.8512e+04
2.3281e+12   8.8470e+04
2.3371e+12   8.8427e+04
2.3461e+12   8.8385e+04
2.3552e+12   8.8342e+04
2.3643e+12   8.8300e+04
2.3735e+12   8.8258e+04
2.3827e+12   8.8215e+04
2.3919e+12   8.8173e+04
2.4012e+12   8.8131e+04
2.4105e+12   8.8088e+04
2.4198e+12   8.8046e+04
2.4292e+12   8.8004e+04
2.4386e+12   8.7961e+04
2.4481e+12   8.7919e+04
2.4576e+12   8.7877e+04
2.4672e+12   8.7834e+04
2.4767e+12   8.7792e+04
2.4864e+12   8.7749e+04
2.4960e+12   8.7707e+04
2.5057e+12   8.7665e+04
2.5155e+12   8.7622e+04
2.5253e+12   8.7580e+04
2.5351e+12   8.7538e+04
2.5450e+12   8.7495e+04
2.5549e+12   8.7453e+04
2.5648e+12   8.7411e+04
2.5748e+12   8.7368e+04
2.5849e+12   8.7326e+04
2.5950e+12   8.7284e+04
2.6051e+12   8.7241e+04
2.6152e+12   8.7199e+04
2.6255e+12   8.7157e+04
2.6357e+12   8.7114e+04
2.6460e+12   8.7072e+04
2.6563e+12   8.7030e+04
2.6667e+12   8.6987e+04
2.6771e+12   8.6945e+04
2.6876e+12   8.6903e+04
2.6981e+12   8.6860e+04
2.7087e+12   8.6818e+04
2.7193e+12   8.6775e+04
2.7299e+12   8.6733e+04
2.7406e+12   8.6691e+04
2.7514e+12   8.6648e+04
2.7621e+12   8.6606e+04
2.7730e+12   8.6564e+04
2.7838e+12   8.6521e+04
2.7948e+12   8.6479e+04
2.8057e+12   8.6437e+04
2.8167e+12   8.6394e+04
2.8278e+12   8.6352e+04
2.8389e+12   8.6310e+04
2.8501e+12   8.6267e+04
2.8613e+12   8.6225e+04
2.8725e+12   8.6183e+04
2.8838e+12   8.6140e+04
2.8951e+12   8.6098e+04
2.9065e+12   8.6056e+04
2.9180e+12   8.6013e+04
2.9295e+12   8.5971e+04
2.9410e+12   8.5929e+04
2.9526e+12   8.5886e+04
2.9642e+12   8.5844e+04
2.9759e+12   8.5802e+04
2.9876e+12   8.5759e+04
2.9994e+12   8.5717e+04
3.0113e+12   8.5675e+04
3.0231e+12   8.5632e+04
3.0351e+12   8.5590e+04
3.0471e+12   8.5548e+04
3.0591e+12   8.5505e+04
3.0712e+12   8.5463e+04
3.0833e+12   8.5421e+04
3.0955e+12   8.5378e+04
3.1078e+12   8.5336e+04
3.1201e+12   8.5294e+04
3.1324e+12   8.5251e+04
3.1448e+12   8.5209e+04
3.1573e+12   8.5166e+04
3.1698e+12   8.5124e+04
3.1823e+12   8.5082e+04
3.1950e+12   8.5039e+04
3.2076e+12   8.4997e+04
3.2203e+12   8.4955e+04
3.2331e+12   8.4912e+04
3.2460e+12   8.4870e+04
3.2588e+12   8.4828e+04
3.2718e+12   8.4785e+04
3.2848e+12   8.4743e+04
3.2978e+12   8.4701e+04
3.3110e+12   8.4658e+04
3.3241e+12   8.4616e+04
3.3373e+12   8.4574e+04
3.3506e+12   8.4531e+04
3.3640e+12   8.4489e+04
3.3773e+12   8.4447e+04
3.3908e+12   8.4404e+04
3.4043e+12   8.4362e+04
3.4179e+12   8.4320e+04
3.4315e+12   8.4277e+04
3.4452e+12   8.4235e+04
3.4589e+12   8.4193e+04
3.4727e+12   8.4150e+04
3.4866e+12   8.4108e+04
3.5005e+12   8.4066e+04
3.5145e+12   8.4024e+04
3.5285e+12   8.3981e+04
3.5426e+12   8.3939e+04
3.5568e+12   8.3897e+04
3.5710e+12   8.3854e+04
3.5853e+12   8.3812e+04
3.5997e+12   8.3770e+04
3.6141e+12   8.3727e+04
3.6285e+12   8.3685e+04
3.6431e+12   8.3643e+04
3.6577e+12   8.3600e+04
3.6723e+12   8.3558e+04
3.6871e+12   8.3516e+04
3.7018e+12   8.3473e+04
3.7167e+12   8.3431e+04
3.7316e+12   8.3389e+04
3.7466e+12   8.3346e+04
3.7616e+12   8.3304e+04
3.7767e+12   8.3262e+04
3.7919e+12   8.3219e+04
3.8072e+12   8.3177e+04
3.8225e+12   8.3135e+04
3.8378e+12   8.3092e+04
3.8533e+12   8.3050e+04
3.8688e+12   8.3008e+04
3.8844e+12   8.2965e+04
3.9000e+12   8.2923e+04
3.9157e+12   8.2881e+04
3.9315e+12   8.2838e+04
3.9473e+12   8.2796e+04
3.9633e+12   8.2754e+04
3.9793e+12   8.2711e+04
3.9953e+12   8.2669e+04
4.0114e+12   8.2627e+04
4.0276e+12   8.2584e+04
4.0439e+12   8.2542e+04
4.0602e+12   8.2500e+04
4.0766e+12   8.2457e+04
4.0931e+12   8.2415e+04
4.1097e+12   8.2373e+04
4.1263e+12   8.2331e+04
4.1430e+12   8.2288e+04
4.1598e+12   8.2246e+04
4.1766e+12   8.2204e+04
4.1935e+12   8.2161e+04
4.2105e+12   8.2119e+04
4.2276e+12   8.2077e+04
4.2447e+12   8.2034e+04
4.2619e+12   8.1992e+04
4.2792e+12   8.1950e+04
4.2966e+12   8.1907e+04
4.3140e+12   8.1865e+04
4.3315e+12   8.1823e+04
4.3491e+12   8.1780e+04
4.3668e+12   8.1738e+04
4.3846e+12   8.1696e+04
4.4024e+12   8.1653e+04
4.4203e+12   8.1611e+04
4.4383e+12   8.1569e+04
4.4563e+12   8.1527e+04
4.4745e+12   8.1484e+04
4.4927e+12   8.1442e+04
4.5110e+12   8.1400e+04
4.5294e+12   8.1357e+04
4.5478e+12   8.1315e+04
4.5664e+12   8.1273e+04
4.5850e+12   8.1230e+04
4.6037e+12   8.1188e+04
4.6225e+12   8.1146e+04
4.6414e+12   8.1103e+04
4.6603e+12   8.1061e+04
4.6794e+12   8.1019e+04
4.6985e+12   8.0976e+04
4.7177e+12   8.0934e+04
4.7370e+12   8.0892e+04
4.7564e+12   8.0850e+04
4.7758e+12   8.0807e+04
4.7954e+12   8.0765e+04
4.8150e+12   8.0723e+04
4.8348e+12   8.0680e+04
4.8546e+12   8.0638e+04
4.8745e+12   8.0596e+04
4.8944e+12   8.0553e+04
4.9145e+12   8.0511e+04
4.9347e+12   8.0469e+04
4.9549e+12   8.0426e+04
4.9753e+12   8.0384e+04
4.9957e+12   8.0342e+04
5.0162e+12   8.0300e+04
5.0368e+12   8.0257e+04
5.0575e+12   8.0215e+04
5.0783e+12   8.0173e+04
5.0992e+12   8.0130e+04
5.1202e+12   8.0088e+04
5.1413e+12   8.0046e+04
5.1625e+12   8.0003e+04
5.1837e+12   7.9961e+04
5.2051e+12   7.9919e+04
5.2265e+12   7.9876e+04
5.2481e+12   7.9834e+04
5.2697e+12   7.9792e+04
5.2915e+12   7.9750e+04
5.3133e+12   7.9707e+04
5.3352e+12   7.9665e+04
5.3573e+12   7.9623e+04
5.3794e+12   7.9580e+04
5.4016e+12   7.9538e+04
5.4239e+12   7.9496e+04
5.4464e+12   7.9453e+04
5.4689e+12   7.9411e+04
