Dia: 1.1 m | Vel: 14.4 km/s | theta: 38.0 deg | Strength: 6.0e+06 Pa
Power (W)    Altitude (m)
2.3935e+08   7.4790e+04
2.3998e+08   7.4764e+04
2.4062e+08   7.4737e+04
2.4126e+08   7.4711e+04
2.4190e+08   7.4684e+04
2.4254e+08   7.4657e+04
2.4318e+08   7.4631e+04
2.4383e+08   7.4604e+04
2.4448e+08   7.4578e+04
2.4513e+08   7.4551e+04
2.4578e+08   7.4525e+04
2.4643e+08   7.4498e+04
2.4709e+08   7.4471e+04
2.4774e+08   7.4445e+04
2.4840e+08   7.4418e+04
2.4906e+08   7.4392e+04
2.4973e+08   7.4365e+04
2.5039e+08   7.4339e+04
2.5106e+08   7.4312e+04
2.5173e+08   7.4286e+04
2.5240e+08   7.4259e+04
2.5307e+08   7.4232e+04
2.5374e+08   7.4206e+04
2.5442e+08   7.4179e+04
2.5509e+08   7.4153e+04
2.5577e+08   7.4126e+04
2.5646e+08   7.4100e+04
2.5714e+08   7.4073e+04
2.5782e+08   7.4047e+04
2.5851e+08   7.4020e+04
2.5920e+08   7.3993e+04
2.5989e+08   7.3967e+04
2.6059e+08   7.3940e+04
2.6128e+08   7.3914e+04
2.6198e+08   7.3887e+04
2.6268e+08   7.3861e+04
2.6338e+08   7.3834e+04
2.6408e+08   7.3807e+04
2.6479e+08   7.3781e+04
2.6549e+08   7.3754e+04
2.6620e+08   7.3728e+04
2.6691e+08   7.3701e+04
2.6763e+08   7.3675e+04
2.6834e+08   7.3648e+04
2.6906e+08   7.3622e+04
2.6978e+08   7.3595e+04
2.7050e+08   7.3568e+04
2.7122e+08   7.3542e+04
2.7195e+08   7.3515e+04
2.7268e+08   7.3489e+04
2.7340e+08   7.3462e+04
2.7414e+08   7.3436e+04
2.7487e+08   7.3409e+04
2.7561e+08   7.3383e+04
2.7634e+08   7.3356e+04
2.7708e+08   7.3329e+04
2.7783e+08   7.3303e+04
2.7857e+08   7.3276e+04
2.7932e+08   7.3250e+04
2.8006e+08   7.3223e+04
2.8081e+08   7.3197e+04
2.8157e+08   7.3170e+04
2.8232e+08   7.3144e+04
2.8308e+08   7.3117e+04
2.8384e+08   7.3090e+04
2.8460e+08   7.3064e+04
2.8536e+08   7.3037e+04
2.8613e+08   7.3011e+04
2.8690e+08   7.2984e+04
2.8767e+08   7.2958e+04
2.8844e+08   7.2931e+04
2.8921e+08   7.2905e+04
2.8999e+08   7.2878e+04
2.9077e+08   7.2852e+04
2.9155e+08   7.2825e+04
2.9233e+08   7.2798e+04
2.9312e+08   7.2772e+04
2.9390e+08   7.2745e+04
2.9469e+08   7.2719e+04
2.9549e+08   7.2692e+04
2.9628e+08   7.2666e+04
2.9708e+08   7.2639e+04
2.9788e+08   7.2613e+04
2.9868e+08   7.2586e+04
2.9948e+08   7.2559e+04
3.0029e+08   7.2533e+04
3.0110e+08   7.2506e+04
3.0191e+08   7.2480e+04
3.0272e+08   7.2453e+04
3.0353e+08   7.2427e+04
3.0435e+08   7.2400e+04
3.0517e+08   7.2374e+04
3.0599e+08   7.2347e+04
3.0682e+08   7.2321e+04
3.0764e+08   7.2294e+04
3.0847e+08   7.2267e+04
3.0930e+08   7.2241e+04
3.1014e+08   7.2214e+04
3.1097e+08   7.2188e+04
3.1181e+08   7.2161e+04
3.1265e+08   7.2135e+04
3.1350e+08   7.2108e+04
3.1434e+08   7.2082e+04
3.1519e+08   7.2055e+04
3.1604e+08   7.2028e+04
3.1690e+08   7.2002e+04
3.1775e+08   7.1975e+04
3.1861e+08   7.1949e+04
3.1947e+08   7.1922e+04
3.2033e+08   7.1896e+04
3.2120e+08   7.1869e+04
3.2207e+08   7.1843e+04
3.2294e+08   7.1816e+04
3.2381e+08   7.1790e+04
3.2468e+08   7.1763e+04
3.2556e+08   7.1736e+04
3.2644e+08   7.1710e+04
3.2733e+08   7.1683e+04
3.2821e+08   7.1657e+04
3.2910e+08   7.1630e+04
3.2999e+08   7.1604e+04
3.3088e+08   7.1577e+04
3.3178e+08   7.1551e+04
3.3268e+08   7.1524e+04
3.3358e+08   7.1498e+04
3.3448e+08   7.1471e+04
3.3539e+08   7.1445e+04
3.3629e+08   7.1418e+04
3.3721e+08   7.1391e+04
3.3812e+08   7.1365e+04
3.3904e+08   7.1338e+04
3.3995e+08   7.1312e+04
3.4088e+08   7.1285e+04
3.4180e+08   7.1259e+04
3.4273e+08   7.1232e+04
3.4366e+08   7.1206e+04
3.4459e+08   7.1179e+04
3.4552e+08   7.1153e+04
3.4646e+08   7.1126e+04
3.4740e+08   7.1099e+04
3.4835e+08   7.1073e+04
3.4929e+08   7.1046e+04
3.5024e+08   7.1020e+04
3.5119e+08   7.0993e+04
3.5214e+08   7.0967e+04
3.5310e+08   7.0940e+04
3.5406e+08   7.0914e+04
3.5502e+08   7.0887e+04
3.5599e+08   7.0861e+04
3.5696e+08   7.0834e+04
3.5793e+08   7.0808e+04
3.5890e+08   7.0781e+04
3.5987e+08   7.0754e+04
3.6085e+08   7.0728e+04
3.6184e+08   7.0701e+04
3.6282e+08   7.0675e+04
3.6381e+08   7.0648e+04
3.6480e+08   7.0622e+04
3.6579e+08   7.0595e+04
3.6679e+08   7.0569e+04
3.6778e+08   7.0542e+04
3.6879e+08   7.0516e+04
3.6979e+08   7.0489e+04
3.7080e+08   7.0463e+04
3.7181e+08   7.0436e+04
3.7282e+08   7.0409e+04
3.7384e+08   7.0383e+04
3.7486e+08   7.0356e+04
3.7588e+08   7.0330e+04
3.7690e+08   7.0303e+04
3.7793e+08   7.0277e+04
3.7896e+08   7.0250e+04
3.8000e+08   7.0224e+04
3.8103e+08   7.0197e+04
3.8207e+08   7.0171e+04
3.8312e+08   7.0144e+04
3.8416e+08   7.0118e+04
3.8521e+08   7.0091e+04
3.8626e+08   7.0065e+04
3.8732e+08   7.0038e+04
3.8837e+08   7.0011e+04
3.8943e+08   6.9985e+04
3.9050e+08   6.9958e+04
3.9157e+08   6.9932e+04
3.9264e+08   6.9905e+04
3.9371e+08   6.9879e+04
3.9479e+08   6.9852e+04
3.9586e+08   6.9826e+04
3.9695e+08   6.9799e+04
3.9803e+08   6.9773e+04
3.9912e+08   6.9746e+04
4.0021e+08   6.9720e+04
4.0131e+08   6.9693e+04
4.0241e+08   6.9667e+04
4.0351e+08   6.9640e+04
4.0461e+08   6.9613e+04
4.0572e+08   6.9587e+04
4.0683e+08   6.9560e+04
4.0795e+08   6.9534e+04
4.0906e+08   6.9507e+04
4.1018e+08   6.9481e+04
4.1131e+08   6.9454e+04
4.1243e+08   6.9428e+04
4.1356e+08   6.9401e+04
4.1470e+08   6.9375e+04
4.1583e+08   6.9348e+04
4.1697e+08   6.9322e+04
4.1812e+08   6.9295e+04
4.1927e+08   6.9269e+04
4.2042e+08   6.9242e+04
4.2157e+08   6.9216e+04
4.2273e+08   6.9189e+04
4.2389e+08   6.9162e+04
4.2505e+08   6.9136e+04
4.2622e+08   6.9109e+04
4.2739e+08   6.9083e+04
4.2856e+08   6.9056e+04
4.2974e+08   6.9030e+04
4.3092e+08   6.9003e+04
4.3210e+08   6.8977e+04
4.3329e+08   6.8950e+04
4.3448e+08   6.8924e+04
4.3567e+08   6.8897e+04
4.3687e+08   6.8871e+04
4.3807e+08   6.8844e+04
4.3927e+08   6.8818e+04
4.4048e+08   6.8791e+04
4.4169e+08   6.8765e+04
4.4291e+08   6.8738e+04
4.4413e+08   6.8712e+04
4.4535e+08   6.8685e+04
4.4657e+08   6.8658e+04
4.4780e+08   6.8632e+04
4.4904e+08   6.8605e+04
4.5027e+08   6.8579e+04
4.5151e+08   6.8552e+04
4.5276e+08   6.8526e+04
4.5400e+08   6.8499e+04
4.5525e+08   6.8473e+04
4.5651e+08   6.8446e+04
4.5776e+08   6.8420e+04
4.5903e+08   6.8393e+04
4.6029e+08   6.8367e+04
4.6156e+08   6.8340e+04
4.6283e+08   6.8314e+04
4.6411e+08   6.8287e+04
4.6539e+08   6.8261e+04
4.6667e+08   6.8234e+04
4.6796e+08   6.8208e+04
4.6925e+08   6.8181e+04
4.7054e+08   6.8155e+04
4.7184e+08   6.8128e+04
4.7314e+08   6.8102e+04
4.7445e+08   6.8075e+04
4.7576e+08   6.8048e+04
4.7707e+08   6.8022e+04
4.7839e+08   6.7995e+04
4.7971e+08   6.7969e+04
4.8104e+08   6.7942e+04
4.8237e+08   6.7916e+04
4.8370e+08   6.7889e+04
4.8504e+08   6.7863e+04
4.8638e+08   6.7836e+04
4.8772e+08   6.7810e+04
4.8907e+08   6.7783e+04
4.9042e+08   6.7757e+04
4.9178e+08   6.7730e+04
4.9314e+08   6.7704e+04
4.9450e+08   6.7677e+04
4.9587e+08   6.7651e+04
4.9724e+08   6.7624e+04
4.9862e+08   6.7598e+04
5.0000e+08   6.7571e+04
5.0138e+08   6.7545e+04
5.0277e+08   6.7518e+04
5.0416e+08   6.7492e+04
5.0556e+08   6.7465e+04
5.0696e+08   6.7439e+04
5.0836e+08   6.7412e+04
5.0977e+08   6.7386e+04
5.1118e+08   6.7359e+04
5.1260e+08   6.7332e+04
5.1402e+08   6.7306e+04
5.1544e+08   6.7279e+04
5.1687e+08   6.7253e+04
5.1830e+08   6.7226e+04
5.1974e+08   6.7200e+04
5.2118e+08   6.7173e+04
5.2263e+08   6.7147e+04
5.2408e+08   6.7120e+04
5.2553e+08   6.7094e+04
5.2699e+08   6.7067e+04
5.2845e+08   6.7041e+04
5.2992e+08   6.7014e+04
5.3139e+08   6.6988e+04
5.3286e+08   6.6961e+04
5.3434e+08   6.6935e+04
5.3582e+08   6.6908e+04
5.3731e+08   6.6882e+04
5.3880e+08   6.6855e+04
5.4030e+08   6.6829e+04
5.4180e+08   6.6802e+04
5.4331e+08   6.6776e+04
5.4482e+08   6.6749e+04
5.4633e+08   6.6723e+04
5.4785e+08   6.6696e+04
5.4937e+08   6.6670e+04
5.5090e+08   6.6643e+04
5.5243e+08   6.6617e+04
5.5397e+08   6.6590e+04
5.5551e+08   6.6564e+04
5.5705e+08   6.6537e+04
5.5860e+08   6.6511e+04
5.6016e+08   6.6484e+04
5.6171e+08   6.6458e+04
5.6328e+08   6.6431e+04
5.6485e+08   6.6405e+04
5.6642e+08   6.6378e+04
5.6799e+08   6.6352e+04
5.6958e+08   6.6325e+04
5.7116e+08   6.6299e+04
5.7275e+08   6.6272e+04
5.7435e+08   6.6245e+04
5.7595e+08   6.6219e+04
5.7755e+08   6.6192e+04
5.7916e+08   6.6166e+04
5.8077e+08   6.6139e+04
5.8239e+08   6.6113e+04
5.8402e+08   6.6086e+04
5.8564e+08   6.6060e+04
5.8728e+08   6.6033e+04
5.8891e+08   6.6007e+04
5.9056e+08   6.5980e+04
5.9220e+08   6.5954e+04
5.9385e+08   6.5927e+04
5.9551e+08   6.5901e+04
5.9717e+08   6.5874e+04
5.9884e+08   6.5848e+04
6.0051e+08   6.5821e+04
6.0219e+08   6.5795e+04
6.0387e+08   6.5768e+04
6.0555e+08   6.5742e+04
6.0724e+08   6.5715e+04
6.0894e+08   6.5689e+04
6.1064e+08   6.5662e+04
6.1234e+08   6.5636e+04
6.1405e+08   6.5609e+04
6.1577e+08   6.5583e+04
6.1749e+08   6.5556e+04
6.1921e+08   6.5530e+04
6.2094e+08   6.5503e+04
6.2268e+08   6.5477e+04
6.2442e+08   6.5450e+04
6.2617e+08   6.5424e+04
6.2792e+08   6.5397e+04
6.2967e+08   6.5371e+04
6.3143e+08   6.5344e+04
6.3320e+08   6.5318e+04
6.3497e+08   6.5291e+04
6.3674e+08   6.5265e+04
6.3853e+08   6.5238e+04
6.4031e+08   6.5212e+04
6.4210e+08   6.5185e+04
6.4390e+08   6.5159e+04
6.4570e+08   6.5132e+04
6.4751e+08   6.5106e+04
6.4932e+08   6.5079e+04
6.5114e+08   6.5053e+04
6.5296e+08   6.5026e+04
6.5479e+08   6.5000e+04
6.5663e+08   6.4973e+04
6.5846e+08   6.4947e+04
6.6031e+08   6.4920e+04
6.6216e+08   6.4894e+04
6.6401e+08   6.4867e+04
6.6587e+08   6.4841e+04
6.6774e+08   6.4814e+04
6.6961e+08   6.4788e+04
6.7149e+08   6.4761e+04
6.7337e+08   6.4735e+04
6.7526e+08   6.4708e+04
6.7715e+08   6.4682e+04
6.7905e+08   6.4655e+04
6.8095e+08   6.4629e+04
6.8286e+08   6.4602e+04
6.8478e+08   6.4576e+04
6.8670e+08   6.4549e+04
6.8863e+08   6.4523e+04
6.9056e+08   6.4496e+04
6.9250e+08   6.4470e+04
6.9444e+08   6.4443e+04
6.9639e+08   6.4417e+04
6.9834e+08   6.4390e+04
7.0030e+08   6.4364e+04
7.0227e+08   6.4337e+04
7.0424e+08   6.4311e+04
7.0622e+08   6.4284e+04
7.0820e+08   6.4258e+04
7.1019e+08   6.4231e+04
7.1219e+08   6.4205e+04
7.1419e+08   6.4178e+04
7.1619e+08   6.4152e+04
7.1820e+08   6.4125e+04
7.2022e+08   6.4099e+04
7.2225e+08   6.4072e+04
7.2428e+08   6.4046e+04
7.2631e+08   6.4019e+04
7.2835e+08   6.3993e+04
7.3040e+08   6.3966e+04
7.3245e+08   6.3940e+04
7.3451e+08   6.3914e+04
7.3658e+08   6.3887e+04
7.3865e+08   6.3861e+04
7.4073e+08   6.3834e+04
7.4281e+08   6.3808e+04
7.4490e+08   6.3781e+04
7.4700e+08   6.3755e+04
7.4910e+08   6.3728e+04
7.5120e+08   6.3702e+04
7.5332e+08   6.3675e+04
7.5544e+08   6.3649e+04
7.5756e+08   6.3622e+04
7.5970e+08   6.3596e+04
7.6184e+08   6.3569e+04
7.6398e+08   6.3543e+04
7.6613e+08   6.3516e+04
7.6829e+08   6.3490e+04
7.7045e+08   6.3463e+04
7.7262e+08   6.3437e+04
7.7480e+08   6.3410e+04
7.7698e+08   6.3384e+04
7.7917e+08   6.3357e+04
7.8136e+08   6.3331e+04
7.8356e+08   6.3304e+04
7.8577e+08   6.3278e+04
7.8799e+08   6.3251e+04
7.9021e+08   6.3225e+04
7.9243e+08   6.3198e+04
7.9467e+08   6.3172e+04
7.9691e+08   6.3145e+04
7.9915e+08   6.3119e+04
8.0141e+08   6.3092e+04
8.0367e+08   6.3066e+04
8.0593e+08   6.3039e+04
8.0820e+08   6.3013e+04
8.1048e+08   6.2986e+04
8.1277e+08   6.2960e+04
8.1506e+08   6.2933e+04
8.1736e+08   6.2907e+04
8.1967e+08   6.2880e+04
8.2198e+08   6.2854e+04
8.2430e+08   6.2828e+04
8.2662e+08   6.2801e+04
8.2896e+08   6.2775e+04
8.3129e+08   6.2748e+04
8.3364e+08   6.2722e+04
8.3599e+08   6.2695e+04
8.3835e+08   6.2669e+04
8.4072e+08   6.2642e+04
8.4309e+08   6.2616e+04
8.4547e+08   6.2589e+04
8.4786e+08   6.2563e+04
8.5025e+08   6.2536e+04
8.5266e+08   6.2510e+04
8.5506e+08   6.2483e+04
8.5748e+08   6.2457e+04
8.5990e+08   6.2430e+04
8.6233e+08   6.2404e+04
8.6476e+08   6.2377e+04
8.6721e+08   6.2351e+04
8.6966e+08   6.2324e+04
8.7211e+08   6.2298e+04
8.7458e+08   6.2271e+04
8.7705e+08   6.2245e+04
8.7953e+08   6.2218e+04
8.8201e+08   6.2192e+04
8.8451e+08   6.2165e+04
8.8701e+08   6.2139e+04
8.8951e+08   6.2113e+04
8.9203e+08   6.2086e+04
8.9455e+08   6.2060e+04
8.9708e+08   6.2033e+04
8.9961e+08   6.2007e+04
9.0216e+08   6.1980e+04
9.0471e+08   6.1954e+04
9.0727e+08   6.1927e+04
9.0983e+08   6.1901e+04
9.1241e+08   6.1874e+04
9.1499e+08   6.1848e+04
9.1757e+08   6.1821e+04
9.2017e+08   6.1795e+04
9.2277e+08   6.1768e+04
9.2538e+08   6.1742e+04
9.2800e+08   6.1715e+04
9.3063e+08   6.1689e+04
9.3326e+08   6.1662e+04
9.3590e+08   6.1636e+04
9.3855e+08   6.1609e+04
9.4120e+08   6.1583e+04
9.4387e+08   6.1557e+04
9.4654e+08   6.1530e+04
9.4922e+08   6.1504e+04
9.5190e+08   6.1477e+04
9.5460e+08   6.1451e+04
9.5730e+08   6.1424e+04
9.6001e+08   6.1398e+04
9.6273e+08   6.1371e+04
9.6545e+08   6.1345e+04
9.6818e+08   6.1318e+04
9.7093e+08   6.1292e+04
9.7367e+08   6.1265e+04
9.7643e+08   6.1239e+04
9.7920e+08   6.1212e+04
9.8197e+08   6.1186e+04
9.8475e+08   6.1159e+04
9.8754e+08   6.1133e+04
9.9034e+08   6.1107e+04
9.9314e+08   6.1080e+04
9.9595e+08   6.1054e+04
9.9877e+08   6.1027e+04
1.0016e+09   6.1001e+04
1.0044e+09   6.0974e+04
1.0073e+09   6.0948e+04
1.0101e+09   6.0921e+04
1.0130e+09   6.0895e+04
1.0159e+09   6.0868e+04
1.0187e+09   6.0842e+04
1.0216e+09   6.0815e+04
1.0245e+09   6.0789e+04
1.0274e+09   6.0762e+04
1.0303e+09   6.0736e+04
1.0333e+09   6.0709e+04
1.0362e+09   6.0683e+04
1.0391e+09   6.0657e+04
1.0421e+09   6.0630e+04
1.0450e+09   6.0604e+04
1.0480e+09   6.0577e+04
1.0510e+09   6.0551e+04
1.0539e+09   6.0524e+04
1.0569e+09   6.0498e+04
1.0599e+09   6.0471e+04
1.0629e+09   6.0445e+04
1.0659e+09   6.0418e+04
1.0690e+09   6.0392e+04
1.0720e+09   6.0365e+04
1.0750e+09   6.0339e+04
1.0781e+09   6.0312e+04
1.0811e+09   6.0286e+04
1.0842e+09   6.0260e+04
1.0873e+09   6.0233e+04
1.0903e+09   6.0207e+04
1.0934e+09   6.0180e+04
1.0965e+09   6.0154e+04
1.0996e+09   6.0127e+04
1.1028e+09   6.0101e+04
1.1059e+09   6.0074e+04
1.1090e+09   6.0048e+04
1.1122e+09   6.0021e+04
1.1153e+09   5.9995e+04
1.1185e+09   5.9968e+04
1.1217e+09   5.9942e+04
1.1248e+09   5.9916e+04
1.1280e+09   5.9889e+04
1.1312e+09   5.9863e+04
1.1344e+09   5.9836e+04
1.1376e+09   5.9810e+04
1.1409e+09   5.9783e+04
1.1441e+09   5.9757e+04
1.1473e+09   5.9730e+04
1.1506e+09   5.9704e+04
1.1539e+09   5.9677e+04
1.1571e+09   5.9651e+04
1.1604e+09   5.9624e+04
1.1637e+09   5.9598e+04
1.1670e+09   5.9572e+04
1.1703e+09   5.9545e+04
1.1736e+09   5.9519e+04
1.1770e+09   5.9492e+04
1.1803e+09   5.9466e+04
1.1836e+09   5.9439e+04
1.1870e+09   5.9413e+04
1.1904e+09   5.9386e+04
1.1937e+09   5.9360e+04
1.1971e+09   5.9333e+04
1.2005e+09   5.9307e+04
1.2039e+09   5.9281e+04
1.2073e+09   5.9254e+04
1.2108e+09   5.9228e+04
1.2142e+09   5.9201e+04
1.2176e+09   5.9175e+04
1.2211e+09   5.9148e+04
1.2246e+09   5.9122e+04
1.2280e+09   5.9095e+04
1.2315e+09   5.9069e+04
1.2350e+09   5.9042e+04
1.2385e+09   5.9016e+04
1.2420e+09   5.8990e+04
1.2455e+09   5.8963e+04
1.2491e+09   5.8937e+04
1.2526e+09   5.8910e+04
1.2561e+09   5.8884e+04
1.2597e+09   5.8857e+04
1.2633e+09   5.8831e+04
1.2669e+09   5.8804e+04
1.2705e+09   5.8778e+04
1.2741e+09   5.8751e+04
1.2777e+09   5.8725e+04
1.2813e+09   5.8699e+04
1.2849e+09   5.8672e+04
1.2886e+09   5.8646e+04
1.2922e+09   5.8619e+04
1.2959e+09   5.8593e+04
1.2995e+09   5.8566e+04
1.3032e+09   5.8540e+04
1.3069e+09   5.8513e+04
1.3106e+09   5.8487e+04
1.3143e+09   5.8460e+04
1.3181e+09   5.8434e+04
1.3218e+09   5.8408e+04
1.3255e+09   5.8381e+04
1.3293e+09   5.8355e+04
1.3331e+09   5.8328e+04
1.3368e+09   5.8302e+04
1.3406e+09   5.8275e+04
1.3444e+09   5.8249e+04
1.3482e+09   5.8222e+04
1.3520e+09   5.8196e+04
1.3559e+09   5.8170e+04
1.3597e+09   5.8143e+04
1.3636e+09   5.8117e+04
1.3674e+09   5.8090e+04
1.3713e+09   5.8064e+04
1.3752e+09   5.8037e+04
1.3791e+09   5.8011e+04
1.3830e+09   5.7984e+04
1.3869e+09   5.7958e+04
1.3908e+09   5.7932e+04
1.3947e+09   5.7905e+04
1.3987e+09   5.7879e+04
1.4027e+09   5.7852e+04
1.4066e+09   5.7826e+04
1.4106e+09   5.7799e+04
1.4146e+09   5.7773e+04
1.4186e+09   5.7746e+04
1.4226e+09   5.7720e+04
1.4266e+09   5.7694e+04
1.4307e+09   5.7667e+04
1.4347e+09   5.7641e+04
1.4388e+09   5.7614e+04
1.4428e+09   5.7588e+04
1.4469e+09   5.7561e+04
1.4510e+09   5.7535e+04
1.4551e+09   5.7508e+04
1.4592e+09   5.7482e+04
1.4634e+09   5.7456e+04
1.4675e+09   5.7429e+04
1.4716e+09   5.7403e+04
1.4758e+09   5.7376e+04
1.4800e+09   5.7350e+04
1.4842e+09   5.7323e+04
1.4884e+09   5.7297e+04
1.4926e+09   5.7270e+04
1.4968e+09   5.7244e+04
1.5010e+09   5.7218e+04
1.5052e+09   5.7191e+04
1.5095e+09   5.7165e+04
1.5138e+09   5.7138e+04
1.5180e+09   5.7112e+04
1.5223e+09   5.7085e+04
1.5266e+09   5.7059e+04
1.5309e+09   5.7033e+04
